"","SD","species","long_degrees","lat_degrees","presence"
"1",10148,"mat",163.1247645,-77.62979077,0
"2",10898,"mat",163.3348426,-77.6137165,0
"3",9628,"mat",163.1429879,-77.59359013,0
"4",4181,"mat",163.3281489,-77.60739016,0
"5",10477,"mat",163.1439921,-77.59211856,0
"6",10452,"mat",163.0558354,-77.65343811,0
"7",8838,"mat",163.0955935,-77.64860039,0
"8",6545,"mat",163.2319623,-77.5857955,0
"9",1249,"mat",163.0556178,-77.61403089,0
"10",6474,"mat",163.2520699,-77.62462526,0
"11",4017,"mat",163.3256194,-77.60037964,0
"12",1445,"mat",163.051511,-77.6019239,0
"13",10506,"mat",163.2956454,-77.62679791,0
"14",4950,"mat",163.3114402,-77.62039854,0
"15",6600,"mat",163.1814921,-77.6227735,0
"16",8237,"mat",163.1938356,-77.64120193,0
"17",7855,"mat",163.2143304,-77.64893784,0
"18",8324,"mat",163.2260664,-77.59532528,0
"19",8447,"mat",163.2749919,-77.62085066,0
"20",1339,"mat",163.0992553,-77.60100194,0
"21",2567,"mat",163.0573916,-77.62736966,0
"22",5799,"mat",163.3140996,-77.62712904,0
"23",6134,"mat",163.2608894,-77.62643644,0
"24",8022,"mat",163.0514778,-77.62487708,0
"25",7284,"mat",163.3092876,-77.61537761,0
"26",7223,"mat",163.2165815,-77.64857846,0
"27",7377,"mat",163.3122148,-77.61221902,0
"28",3244,"mat",163.3419331,-77.61759497,0
"29",2467,"mat",163.2842556,-77.63177808,0
"30",6581,"mat",163.2890403,-77.61327283,0
"31",4923,"mat",163.243336,-77.62365194,0
"32",8188,"mat",163.3333815,-77.61375858,0
"33",2871,"mat",163.0768949,-77.64001036,0
"34",5716,"mat",163.0759352,-77.60790756,0
"35",3898,"mat",163.0118727,-77.60864178,0
"36",7023,"mat",163.3369339,-77.60888459,0
"37",9842,"mat",163.2076755,-77.65274059,0
"38",1783,"mat",163.0354247,-77.60411655,0
"39",2742,"mat",163.3117183,-77.59342409,0
"40",6843,"mat",163.3268194,-77.59170882,0
"41",3365,"mat",163.2119517,-77.64122707,0
"42",2625,"mat",163.1611943,-77.63058172,0
"43",4033,"mat",163.0678255,-77.62547746,0
"44",5855,"mat",163.1488287,-77.59880615,0
"45",5700,"mat",163.1942999,-77.61866501,0
"46",10529,"mat",163.2505505,-77.62082393,0
"47",9075,"mat",163.3410022,-77.62871037,0
"48",8871,"mat",163.1183183,-77.62880406,0
"49",1158,"mat",163.2799796,-77.62662718,0
"50",4812,"mat",163.0344148,-77.63535315,0
"51",9803,"mat",163.2382384,-77.61162137,0
"52",5507,"mat",163.0903452,-77.63331911,0
"53",5455,"mat",163.231425,-77.63513071,0
"54",6493,"mat",163.2538745,-77.61168973,0
"55",10245,"mat",163.1214052,-77.64510697,0
"56",10820,"mat",163.3062771,-77.61305111,0
"57",4676,"mat",163.2059176,-77.63108679,0
"58",8293,"mat",163.1419921,-77.65428018,0
"59",2765,"mat",163.0756311,-77.61196138,0
"60",4705,"mat",163.0971124,-77.60813764,0
"61",6962,"mat",163.2615061,-77.59526835,0
"62",1517,"mat",163.2447551,-77.64125445,0
"63",6915,"mat",163.2174987,-77.58575573,0
"64",5427,"mat",163.1000554,-77.64176983,0
"65",4652,"mat",163.151125,-77.59013203,0
"66",1886,"mat",163.0450929,-77.61277876,0
"67",4513,"mat",163.3069983,-77.63250881,0
"68",6716,"mat",163.2382198,-77.63621805,0
"69",6068,"mat",163.1401205,-77.63730851,0
"70",9262,"mat",163.232177,-77.59795302,0
"71",10331,"mat",163.2253935,-77.64518508,0
"72",6170,"mat",163.2169518,-77.60867752,0
"73",3693,"mat",163.0516755,-77.60583611,0
"74",10872,"mat",163.3015644,-77.59584864,0
"75",6966,"mat",163.2971968,-77.62130511,0
"76",5153,"mat",163.3403255,-77.63000646,0
"77",9473,"mat",163.1432552,-77.65022219,0
"78",9089,"mat",163.159354,-77.59477874,0
"79",3472,"mat",163.0361055,-77.60645468,0
"80",5003,"mat",163.3303127,-77.58784844,0
"81",9108,"mat",163.2340027,-77.61656686,0
"82",1366,"mat",163.2108847,-77.63186841,0
"83",6597,"mat",163.157487,-77.6345803,0
"84",1692,"mat",163.058581,-77.60668281,0
"85",4396,"mat",163.1186428,-77.64158964,0
"86",2528,"mat",163.1926198,-77.62842,0
"87",1996,"mat",163.1431153,-77.63257948,0
"88",6848,"mat",163.1204659,-77.59260062,0
"89",1555,"mat",163.2839473,-77.61123544,0
"90",7337,"mat",163.0567722,-77.60452378,0
"91",3010,"mat",163.3467932,-77.62494333,0
"92",4836,"mat",163.3383662,-77.62998112,0
"93",4285,"mat",163.1475568,-77.59912594,0
"94",10799,"mat",163.0324795,-77.60985721,0
"95",1068,"mat",163.1722037,-77.65244057,0
"96",8442,"mat",163.1972317,-77.64429655,0
"97",6752,"mat",163.2868604,-77.59993644,0
"98",6361,"mat",163.0452763,-77.60519693,0
"99",5875,"mat",163.2573035,-77.63620084,0
"100",3218,"mat",163.2518181,-77.61229312,0
"101",6183,"mat",163.2757054,-77.6134403,0
"102",2726,"mat",163.085425,-77.60095254,0
"103",8128,"mat",163.0490573,-77.64661667,0
"104",5606,"mat",163.3244432,-77.61701653,0
"105",2956,"mat",163.2099525,-77.6255837,0
"106",8441,"mat",163.2231178,-77.5833897,0
"107",7174,"mat",163.2929044,-77.60018735,0
"108",3017,"mat",163.2115401,-77.62176842,0
"109",7157,"mat",163.2364247,-77.64282952,0
"110",6706,"mat",163.0290759,-77.60407071,0
"111",3366,"mat",163.3162939,-77.60297539,0
"112",6659,"mat",163.1683085,-77.65095491,0
"113",5910,"mat",163.1759614,-77.62461412,0
"114",5034,"mat",163.1903939,-77.59635687,0
"115",4335,"mat",163.1073622,-77.62472613,0
"116",2529,"mat",163.013561,-77.60737783,0
"117",7046,"mat",163.0627125,-77.60935683,0
"118",6184,"mat",163.1057684,-77.59922877,0
"119",7128,"mat",163.2486831,-77.62170593,0
"120",10185,"mat",163.2163143,-77.63236837,0
"121",8426,"mat",163.0214779,-77.60867586,0
"122",4392,"mat",163.2833179,-77.62898737,0
"123",2234,"mat",163.3018332,-77.63459487,0
"124",9196,"mat",163.1686741,-77.61985896,0
"125",7142,"mat",163.2019651,-77.61705917,0
"126",10789,"mat",163.2599572,-77.62039636,0
"127",4497,"mat",163.2060262,-77.62203739,0
"128",9206,"mat",163.3233102,-77.60626068,0
"129",5477,"mat",163.1578729,-77.59988588,0
"130",10579,"mat",163.0262362,-77.63905224,0
"131",7964,"mat",163.2045857,-77.58493971,0
"132",1218,"mat",163.1554513,-77.59654217,0
"133",2296,"mat",163.1619272,-77.59623515,0
"134",8140,"mat",163.2416865,-77.64322495,0
"135",5038,"mat",163.278126,-77.61482653,0
"136",7134,"mat",163.2224764,-77.62531831,0
"137",6436,"mat",163.1758803,-77.62548791,0
"138",6579,"mat",163.098057,-77.6487652,0
"139",5867,"mat",163.0657948,-77.60539701,0
"140",1824,"mat",163.0596702,-77.61188408,0
"141",8532,"mat",163.2758625,-77.61979843,0
"142",1665,"mat",163.0806983,-77.6481705,0
"143",3873,"mat",163.1006754,-77.64697291,0
"144",7559,"mat",163.1486627,-77.59164472,0
"145",8736,"mat",163.249833,-77.60870356,0
"146",1207,"mat",163.2337683,-77.59759644,0
"147",6629,"mat",163.1985703,-77.64464007,0
"148",8757,"mat",163.2735694,-77.6389556,0
"149",7110,"mat",163.2599631,-77.63507056,0
"150",7769,"mat",163.0970375,-77.65390499,0
"151",5663,"mat",163.0805848,-77.60519907,0
"152",8470,"mat",163.3140497,-77.60641027,0
"153",10803,"mat",163.254281,-77.61902495,0
"154",10103,"mat",163.158087,-77.62517961,0
"155",1941,"mat",163.2592392,-77.62298513,0
"156",7267,"mat",163.1816669,-77.59000126,0
"157",8545,"mat",163.0413862,-77.64074177,0
"158",6422,"mat",163.0346262,-77.64978092,0
"159",9810,"mat",163.0586101,-77.64954947,0
"160",7756,"mat",163.2468257,-77.62105059,0
"161",5096,"mat",163.2041169,-77.6480047,0
"162",9801,"mat",163.2035869,-77.64248683,0
"163",10028,"mat",163.0616847,-77.62609531,0
"164",7511,"mat",163.2704767,-77.62775464,0
"165",6871,"mat",163.0700328,-77.62651691,0
"166",1884,"mat",163.0764463,-77.6423878,0
"167",1263,"mat",163.0754103,-77.63792001,0
"168",5310,"mat",163.1439354,-77.63620952,0
"169",10677,"mat",163.0415136,-77.6088796,0
"170",1177,"mat",163.2556899,-77.60867667,0
"171",3520,"mat",163.3164603,-77.60611913,0
"172",4731,"mat",163.0846152,-77.62362955,0
"173",8820,"mat",163.3115282,-77.59939961,0
"174",10424,"mat",163.0535475,-77.64565615,0
"175",1120,"mat",163.1680475,-77.59910879,0
"176",10881,"mat",163.3031256,-77.62819484,0
"177",5603,"mat",163.0466007,-77.6484777,0
"178",8708,"mat",163.074308,-77.62314624,0
"179",9480,"mat",163.1122582,-77.60273098,0
"180",4670,"mat",163.1510654,-77.63747228,0
"181",3150,"mat",163.0384055,-77.64218548,0
"182",1335,"mat",163.1656174,-77.62378502,0
"183",2806,"mat",163.2433767,-77.61089924,0
"184",6931,"mat",163.3489839,-77.61651203,0
"185",10858,"mat",163.3001928,-77.62663655,0
"186",4010,"mat",163.2441501,-77.62529034,0
"187",8476,"mat",163.3008018,-77.60891951,0
"188",4173,"mat",163.1970834,-77.58975926,0
"189",8346,"mat",163.2919194,-77.60326665,0
"190",1579,"mat",163.1011773,-77.60623469,0
"191",7209,"mat",163.2476493,-77.61294111,0
"192",2554,"mat",163.2257107,-77.61003584,0
"193",5694,"mat",163.201964,-77.62726104,0
"194",1146,"mat",163.2155727,-77.59778301,0
"195",3274,"mat",163.1462099,-77.58969857,0
"196",5666,"mat",163.0987067,-77.60589528,0
"197",1463,"mat",163.3003105,-77.60417013,0
"198",3536,"mat",163.0478025,-77.60036605,0
"199",4057,"mat",163.2127177,-77.62721352,0
"200",5176,"mat",163.2272795,-77.5910923,0
"201",5957,"mat",163.3235012,-77.59570805,0
"202",10543,"mat",163.1820364,-77.64586494,0
"203",1377,"mat",163.1684164,-77.59257391,0
"204",1100,"mat",163.1228177,-77.5970978,0
"205",3091,"mat",163.2431644,-77.64660727,0
"206",5871,"mat",163.2420761,-77.64056786,0
"207",8722,"mat",163.0646826,-77.63261673,0
"208",1624,"mat",163.1542732,-77.64573891,0
"209",6502,"mat",163.2076247,-77.62171588,0
"210",6824,"mat",163.2182357,-77.61352818,0
"211",8731,"mat",163.2493871,-77.6238689,0
"212",5490,"mat",163.3183862,-77.61362179,0
"213",1530,"mat",163.2894548,-77.61096489,0
"214",7784,"mat",163.2722966,-77.63927597,0
"215",1077,"mat",163.1830353,-77.63569376,0
"216",2667,"mat",163.2615596,-77.62175157,0
"217",7839,"mat",163.0922645,-77.62726742,0
"218",6838,"mat",163.3369271,-77.61800387,0
"219",10808,"mat",163.2182393,-77.58837277,0
"220",9518,"mat",163.2238754,-77.6496989,0
"221",1449,"mat",163.1646686,-77.59423201,0
"222",1595,"mat",163.0890513,-77.60338363,0
"223",8786,"mat",163.1267713,-77.6521422,0
"224",2262,"mat",163.2547051,-77.64120899,0
"225",10139,"mat",163.1010756,-77.59764067,0
"226",10342,"mat",163.3426518,-77.6106035,0
"227",8780,"mat",163.0938312,-77.60783639,0
"228",3650,"mat",163.3149684,-77.59029882,0
"229",10019,"mat",163.0937074,-77.63634517,0
"230",7589,"mat",163.2200565,-77.62892776,0
"231",5355,"mat",163.273416,-77.60531026,0
"232",4156,"mat",163.2701343,-77.62275999,0
