"","SD","species","long_degrees","lat_degrees","presence"
"1",488,"mat",163.2300052,-77.59237272,1
"2",438,"mat",163.1085932,-77.59806438,1
"3",313,"mat",163.0708627,-77.61522921,1
"4",481,"mat",163.2037538,-77.65272292,1
"5",115,"mat",163.1944941,-77.65325261,1
"6",760,"mat",163.2213965,-77.5874153,1
"7",71,"mat",163.1970598,-77.65275227,1
"8",218,"mat",163.2413544,-77.58383124,1
"9",275,"mat",163.0105487,-77.61039348,1
"10",417,"mat",163.3134513,-77.61937563,1
"11",261,"mat",163.2277911,-77.58633841,1
"12",643,"mat",163.1045047,-77.59594984,1
"13",706,"mat",163.0210126,-77.6310016,1
"14",888,"mat",163.2151932,-77.65110017,1
"15",298,"mat",163.2433998,-77.58315808,1
"16",369,"mat",163.2055497,-77.65271502,1
"17",450,"mat",163.2170303,-77.63470604,1
"18",227,"mat",163.2006978,-77.65151351,1
"19",995,"mat",163.1760296,-77.64969903,1
"20",903,"mat",163.2097229,-77.62827494,1
"21",470,"mat",163.124419,-77.59136155,1
"22",237,"mat",163.2057339,-77.58675139,1
"23",798,"mat",163.1978995,-77.65299316,1
"24",194,"mat",163.2534597,-77.63038375,1
"25",434,"mat",163.2023303,-77.65150635,1
"26",83,"mat",163.0370271,-77.61368292,1
"27",382,"mat",163.2104037,-77.63026339,1
"28",97,"mat",163.1742688,-77.64485026,1
"29",999,"mat",163.2050404,-77.64911865,1
"30",891,"mat",163.2174173,-77.6353332,1
"31",641,"mat",163.232906,-77.63194465,1
"32",556,"mat",163.2153242,-77.6103618,1
"33",710,"mat",163.3297636,-77.61803885,1
"34",246,"mat",163.3202404,-77.60802252,1
"35",591,"mat",163.2447529,-77.59356353,1
"36",884,"mat",163.2050774,-77.6495028,1
"37",213,"mat",163.292399,-77.63009756,1
"38",971,"mat",163.1628155,-77.59001251,1
"39",86,"mat",163.0239237,-77.63071123,1
"40",309,"mat",163.2401449,-77.62929153,1
"41",161,"mat",163.2207392,-77.63427024,1
"42",354,"mat",163.2839634,-77.62573501,1
"43",457,"mat",163.2113647,-77.63008444,1
"44",741,"mat",163.3456867,-77.62222348,1
"45",594,"mat",163.0615455,-77.61481143,1
"46",410,"mat",163.0991118,-77.5993605,1
"47",832,"mat",163.0547846,-77.62350182,1
"48",664,"mat",163.190135,-77.58846208,1
"49",711,"mat",163.210444,-77.64420348,1
"50",823,"mat",163.1955804,-77.65265392,1
"51",805,"mat",163.0988983,-77.59691579,1
"52",681,"mat",163.1227668,-77.64573025,1
"53",4,"mat",163.2108139,-77.63113502,1
"54",697,"mat",163.2056827,-77.64052108,1
"55",983,"mat",163.1282546,-77.64141042,1
"56",233,"mat",163.2142613,-77.63643031,1
"57",843,"mat",163.1546703,-77.64650585,1
"58",550,"mat",163.1204151,-77.60116037,1
"59",72,"mat",163.1257356,-77.64243397,1
"60",189,"mat",163.2760819,-77.5898898,1
"61",801,"mat",163.1127273,-77.63193626,1
"62",630,"mat",163.3372342,-77.61782767,1
"63",808,"mat",163.1282295,-77.64113103,1
"64",103,"mat",163.2207052,-77.63392101,1
"65",276,"mat",163.2203079,-77.63486612,1
"66",250,"mat",163.0405841,-77.61534631,1
"67",788,"mat",163.2508701,-77.59622577,1
"68",358,"mat",163.2168162,-77.58205535,1
"69",898,"mat",163.2088375,-77.62754516,1
"70",543,"mat",163.2171511,-77.64099436,1
"71",560,"mat",163.2258568,-77.63990733,1
"72",60,"mat",163.1883944,-77.58895881,1
"73",943,"mat",163.044655,-77.60163583,1
"74",953,"mat",163.2104017,-77.62855144,1
"75",170,"mat",163.2121444,-77.6482837,1
"76",312,"mat",163.2501938,-77.63197094,1
"77",399,"mat",163.1929848,-77.65283993,1
"78",621,"mat",163.2135583,-77.64265241,1
"79",544,"mat",163.088702,-77.61250347,1
"80",617,"mat",163.116336,-77.62301264,1
"81",926,"mat",163.2270103,-77.58166022,1
"82",599,"mat",163.2767837,-77.62244947,1
"83",406,"mat",163.2016463,-77.64948295,1
"84",66,"mat",163.2352226,-77.58756258,1
"85",437,"mat",163.2222018,-77.58734181,1
"86",485,"mat",163.2667261,-77.59866812,1
"87",430,"mat",163.2147959,-77.63352808,1
"88",786,"mat",163.2149217,-77.6331432,1
"89",268,"mat",163.2116221,-77.63106157,1
"90",538,"mat",163.2066861,-77.64925115,1
"91",893,"mat",163.1667384,-77.64110923,1
"92",206,"mat",163.3281275,-77.60410596,1
"93",703,"mat",163.2908748,-77.62954574,1
"94",541,"mat",163.2524371,-77.59726673,1
"95",360,"mat",163.2774529,-77.62262104,1
"96",5,"mat",163.2559952,-77.61824842,1
"97",377,"mat",163.2069841,-77.64386939,1
"98",644,"mat",163.2126679,-77.6368217,1
"99",169,"mat",163.2841499,-77.62437152,1
"100",737,"mat",163.0103633,-77.60606214,1
"101",100,"mat",163.2211129,-77.63475771,1
"102",156,"mat",163.1942413,-77.64717452,1
"103",991,"mat",163.1490672,-77.58895285,1
"104",482,"mat",163.0696816,-77.61474473,1
"105",853,"mat",163.1688462,-77.58844945,1
"106",407,"mat",163.2098488,-77.62789006,1
"107",807,"mat",163.1098774,-77.60340448,1
"108",520,"mat",163.2626752,-77.59557738,1
"109",940,"mat",163.1098236,-77.62307411,1
"110",979,"mat",163.2079495,-77.64372537,1
"111",691,"mat",163.0063963,-77.63171959,1
"112",757,"mat",163.0323921,-77.61275722,1
"113",679,"mat",163.2487686,-77.63239672,1
"114",465,"mat",163.0017278,-77.60591931,1
"115",138,"mat",163.3364745,-77.5984399,1
"116",147,"mat",163.2048264,-77.62651474,1
"117",266,"mat",163.2772261,-77.58995431,1
"118",158,"mat",163.3360053,-77.5986169,1
"119",292,"mat",163.2048832,-77.6525782,1
"120",885,"mat",163.2950048,-77.59056915,1
"121",637,"mat",163.1489203,-77.64611081,1
"122",785,"mat",163.3348295,-77.60746237,1
"123",769,"mat",163.0654404,-77.61465651,1
"124",340,"mat",163.2093189,-77.58855227,1
"125",87,"mat",163.1517458,-77.64665793,1
"126",289,"mat",163.2086983,-77.64641229,1
"127",419,"mat",163.2917292,-77.62992603,1
"128",220,"mat",163.2119608,-77.64300887,1
"129",899,"mat",163.208296,-77.64393347,1
