layer,longitude,lattitude
TRUE,163.191188128254,-77.5811860564999
TRUE,163.182223128254,-77.5813256564999
TRUE,163.174073128254,-77.5815350564999
TRUE,163.188743128254,-77.5821283564999
TRUE,163.177333128254,-77.5822330564999
TRUE,163.200153128254,-77.5823377564999
TRUE,163.206836128254,-77.5828961564999
TRUE,163.174725128254,-77.5829659564999
TRUE,163.162174128254,-77.5831404564999
TRUE,163.183364128254,-77.5833847564999
TRUE,163.178148128254,-77.5834894564999
TRUE,163.157773128254,-77.5836988564999
TRUE,163.189232128254,-77.5839780564999
TRUE,163.211400128254,-77.5840827564999
TRUE,163.167716128254,-77.5842572564999
TRUE,163.184994128254,-77.5845713564999
TRUE,163.176681128254,-77.5849552564999
TRUE,163.192003128254,-77.5851646564999
TRUE,163.144081128254,-77.5856183564999
TRUE,163.168857128254,-77.5858626564999
TRUE,163.154350128254,-77.5869096564999
TRUE,163.207488128254,-77.5874331564999
TRUE,163.149949128254,-77.5876076564999
TRUE,163.143266128254,-77.5877821564999
TRUE,163.175051128254,-77.5878519564999
TRUE,163.163152128254,-77.5882707564999
TRUE,163.225418128254,-77.5882707564999
TRUE,163.239762128254,-77.5884103564999
TRUE,163.168857128254,-77.5884452564999
TRUE,163.154839128254,-77.5885499564999
TRUE,163.209281128254,-77.5885499564999
TRUE,163.143755128254,-77.5888640564999
TRUE,163.188417128254,-77.5889338564999
TRUE,163.122076128254,-77.5890036564999
TRUE,163.243022128254,-77.5890734564999
TRUE,163.154676128254,-77.5895620564999
TRUE,163.247260128254,-77.5896318564999
TRUE,163.162174128254,-77.5899808564999
TRUE,163.123054128254,-77.5902949564999
TRUE,163.117023128254,-77.5903647564999
TRUE,163.140658128254,-77.5907137564999
TRUE,163.261115128254,-77.5912372564999
TRUE,163.124521128254,-77.5914117564999
TRUE,163.226233128254,-77.5914815564999
TRUE,163.102516128254,-77.5921097564999
TRUE,163.158099128254,-77.5925285564999
TRUE,163.090617128254,-77.5926681564999
TRUE,163.096159128254,-77.5932614564999
TRUE,163.173421128254,-77.5935406564999
TRUE,163.244815128254,-77.5935406564999
TRUE,163.120283128254,-77.5939943564999
TRUE,163.098604128254,-77.5945178564999
TRUE,163.091595128254,-77.5946574564999
TRUE,163.079044128254,-77.5949017564999
TRUE,163.260626128254,-77.5950064564999
TRUE,163.080674128254,-77.5957393564999
TRUE,163.102842128254,-77.5958091564999
TRUE,163.097626128254,-77.5959836564999
TRUE,163.244000128254,-77.5962279564999
TRUE,163.251987128254,-77.5962279564999
TRUE,163.074154128254,-77.5962628564999
TRUE,163.093225128254,-77.5968212564999
TRUE,163.103331128254,-77.5971353564999
TRUE,163.078229128254,-77.5971702564999
TRUE,163.269102128254,-77.5975192564999
TRUE,163.106591128254,-77.5979729564999
TRUE,163.315394128254,-77.5981474564999
TRUE,163.047748128254,-77.5983568564999
TRUE,163.063722128254,-77.5984615564999
TRUE,163.110340128254,-77.5984615564999
TRUE,163.308874128254,-77.5984615564999
TRUE,163.147830128254,-77.5984964564999
TRUE,163.267472128254,-77.5985662564999
TRUE,163.093388128254,-77.5986709564999
TRUE,163.224277128254,-77.5987058564999
TRUE,163.235361128254,-77.5987407564999
TRUE,163.244000128254,-77.5987756564999
TRUE,163.098930128254,-77.5989501564999
TRUE,163.183201128254,-77.5990199564999
TRUE,163.189395128254,-77.5993689564999
TRUE,163.089639128254,-77.5994038564999
TRUE,163.220202128254,-77.5994736564999
TRUE,163.112133128254,-77.5995085564999
TRUE,163.264375128254,-77.5995434564999
TRUE,163.103494128254,-77.5997528564999
TRUE,163.060136128254,-77.5997877564999
TRUE,163.036012128254,-77.5999273564999
TRUE,163.223625128254,-77.5999971564999
TRUE,163.096811128254,-77.6000320564999
TRUE,163.116697128254,-77.6003112564999
TRUE,163.074806128254,-77.6003810564999
TRUE,163.040250128254,-77.6004857564999
TRUE,163.102516128254,-77.6007998564999
TRUE,163.216779128254,-77.6007998564999
TRUE,163.120446128254,-77.6011488564999
TRUE,163.080674128254,-77.6012186564999
TRUE,163.187439128254,-77.6012186564999
TRUE,163.157936128254,-77.6014629564999
TRUE,163.073176128254,-77.6015327564999
TRUE,163.026069128254,-77.6015676564999
TRUE,163.044651128254,-77.6016374564999
TRUE,163.183038128254,-77.6016374564999
TRUE,163.122728128254,-77.6025448564999
TRUE,163.166575128254,-77.6026146564999
TRUE,163.224277128254,-77.6027891564999
TRUE,163.183527128254,-77.6028240564999
TRUE,163.268450128254,-77.6031381564999
TRUE,163.275785128254,-77.6031381564999
TRUE,163.152557128254,-77.6031730564999
TRUE,163.175214128254,-77.6032428564999
TRUE,163.162174128254,-77.6032777564999
TRUE,163.170161128254,-77.6032777564999
TRUE,163.072035128254,-77.6033824564999
TRUE,163.220691128254,-77.6036267564999
TRUE,163.328271128254,-77.6038361564999
TRUE,163.172932128254,-77.6042898564999
TRUE,163.195752128254,-77.6045690564999
TRUE,163.220039128254,-77.6050227564999
TRUE,163.192329128254,-77.6050925564999
TRUE,163.258507128254,-77.6051623564999
TRUE,162.996892128254,-77.6051972564999
TRUE,163.230145128254,-77.6051972564999
TRUE,163.132345128254,-77.6052670564999
TRUE,163.178148128254,-77.6055811564999
TRUE,163.125173128254,-77.6057207564999
TRUE,163.183690128254,-77.6057207564999
TRUE,163.002760128254,-77.6057556564999
TRUE,163.214823128254,-77.6058952564999
TRUE,162.992980128254,-77.6061046564999
TRUE,163.122728128254,-77.6064536564999
TRUE,163.181082128254,-77.6064536564999
TRUE,163.118164128254,-77.6065234564999
TRUE,163.185320128254,-77.6066630564999
TRUE,163.000967128254,-77.6066979564999
TRUE,163.063233128254,-77.6068375564999
TRUE,163.210096128254,-77.6071167564999
TRUE,162.992980128254,-77.6071516564999
TRUE,163.197382128254,-77.6074657564999
TRUE,163.109525128254,-77.6075704564999
TRUE,163.185157128254,-77.6076053564999
TRUE,163.257203128254,-77.6078496564999
