layer,longitude,lattitude
TRUE,163.177170128254,-77.5822679564999
TRUE,163.143266128254,-77.5877821564999
TRUE,163.225581128254,-77.5882707564999
TRUE,163.090617128254,-77.5926681564999
TRUE,163.315394128254,-77.5981474564999
TRUE,163.266820128254,-77.5986709564999
TRUE,163.220039128254,-77.5994387564999
TRUE,163.036012128254,-77.5999622564999
TRUE,163.172769128254,-77.6038710564999
TRUE,163.125336128254,-77.6056858564999
TRUE,162.992817128254,-77.6064187564999
TRUE,163.320284128254,-77.6080241564999
TRUE,163.234546128254,-77.6095597564999
TRUE,163.028840128254,-77.6129101564999
TRUE,163.073176128254,-77.6150390564999
TRUE,163.199338128254,-77.6164699564999
TRUE,163.150601128254,-77.6173075564999
TRUE,163.331694128254,-77.6177961564999
TRUE,163.262093128254,-77.6200297564999
TRUE,163.102027128254,-77.6218445564999
TRUE,163.053616128254,-77.6237640564999
TRUE,163.204065128254,-77.6261023564999
TRUE,163.287195128254,-77.6273587564999
TRUE,163.025580128254,-77.6307440564999
TRUE,163.108873128254,-77.6309534564999
TRUE,163.236013128254,-77.6345481564999
TRUE,163.179778128254,-77.6355951564999
TRUE,163.128433128254,-77.6407952564999
TRUE,163.172932128254,-77.6448785564999
TRUE,163.138376128254,-77.6500786564999
TRUE,163.095670128254,-77.6535337564999
