layer,longitude,lattitude,presence
TRUE,163.1843421,-77.58115116,1
TRUE,163.1911881,-77.58118606,1
TRUE,163.1822231,-77.58132566,1
TRUE,163.1854831,-77.58132566,1
TRUE,163.1740731,-77.58153506,1
TRUE,163.1771701,-77.58156996,1
TRUE,163.1761921,-77.58181426,1
TRUE,163.1773331,-77.58184916,1
TRUE,163.1853201,-77.58188406,1
TRUE,163.1801041,-77.58205856,1
TRUE,163.1887431,-77.58219816,1
TRUE,163.1773331,-77.58223306,1
TRUE,163.2001531,-77.58233776,1
TRUE,163.2068361,-77.58289616,1
TRUE,163.1636411,-77.58293106,1
TRUE,163.1747251,-77.58296596,1
TRUE,163.1621741,-77.58314046,1
TRUE,163.1833641,-77.58338476,1
TRUE,163.1779851,-77.58352436,1
TRUE,163.1577731,-77.58369886,1
TRUE,163.1713021,-77.58387336,1
TRUE,163.1892321,-77.58397806,1
TRUE,163.1830381,-77.58401296,1
TRUE,163.2114001,-77.58408276,1
TRUE,163.1677161,-77.58422236,1
TRUE,163.1849941,-77.58457136,1
TRUE,163.1766811,-77.58495526,1
TRUE,163.1696721,-77.58512976,1
TRUE,163.1920031,-77.58516466,1
TRUE,163.1442441,-77.58565326,1
TRUE,163.1688571,-77.58586266,1
TRUE,163.1535351,-77.58683986,1
TRUE,163.1543501,-77.58690966,1
TRUE,163.2074881,-77.58743316,1
TRUE,163.1497861,-77.58764256,1
TRUE,163.1450591,-77.58778216,1
TRUE,163.1462001,-77.58778216,1
TRUE,163.1437551,-77.58781706,1
TRUE,163.1748881,-77.58781706,1
TRUE,163.1473411,-77.58792176,1
TRUE,163.1447331,-77.58802646,1
TRUE,163.2086291,-77.58823586,1
TRUE,163.1631521,-77.58827076,1
TRUE,163.2255811,-77.58827076,1
TRUE,163.2397621,-77.58841036,1
TRUE,163.1688571,-77.58844526,1
TRUE,163.1902101,-77.58844526,1
TRUE,163.1458741,-77.58854996,1
TRUE,163.1548391,-77.58854996,1
TRUE,163.2092811,-77.58854996,1
TRUE,163.2412291,-77.58882916,1
TRUE,163.1435921,-77.58886406,1
TRUE,163.1882541,-77.58896876,1
TRUE,163.1227281,-77.58900366,1
TRUE,163.2430221,-77.58907346,1
TRUE,163.1558171,-77.58914326,1
TRUE,163.1546761,-77.58956206,1
TRUE,163.2472601,-77.58963186,1
TRUE,163.1607071,-77.58966676,1
TRUE,163.1595661,-77.58980636,1
TRUE,163.2436741,-77.58980636,1
TRUE,163.1616851,-77.58987616,1
TRUE,163.1633151,-77.58994596,1
TRUE,163.1237061,-77.59008556,1
TRUE,163.1233801,-77.59036476,1
TRUE,163.1170231,-77.59039966,1
TRUE,163.1406581,-77.59071376,1
TRUE,163.1228911,-77.59081846,1
TRUE,163.1434291,-77.59095806,1
TRUE,163.2611151,-77.59123726,1
TRUE,163.1245211,-77.59137686,1
TRUE,163.2262331,-77.59148156,1
TRUE,163.1025161,-77.59210976,1
TRUE,163.1580991,-77.59249366,1
TRUE,163.1056131,-77.59263326,1
TRUE,163.0906171,-77.59266816,1
TRUE,163.0927361,-77.59284266,1
TRUE,163.0930621,-77.59308696,1
TRUE,163.0961591,-77.59326146,1
TRUE,163.0907801,-77.59336616,1
TRUE,163.0951811,-77.59347086,1
TRUE,163.0942031,-77.59354066,1
TRUE,163.1734211,-77.59354066,1
TRUE,163.2448151,-77.59354066,1
TRUE,163.0956701,-77.59381986,1
TRUE,163.0968111,-77.59381986,1
TRUE,163.1202831,-77.59399436,1
TRUE,163.0937141,-77.59409906,1
TRUE,163.0943661,-77.59423866,1
TRUE,163.0922471,-77.59441316,1
TRUE,163.0946921,-77.59441316,1
TRUE,163.0984411,-77.59441316,1
TRUE,163.0987671,-77.59458766,1
TRUE,163.0915951,-77.59465746,1
TRUE,163.0953441,-77.59472726,1
TRUE,163.0790441,-77.59479706,1
TRUE,163.0762731,-77.59483196,1
TRUE,163.2606261,-77.59500646,1
TRUE,163.0987671,-77.59521586,1
TRUE,163.1023531,-77.59528566,1
TRUE,163.0801851,-77.59539036,1
TRUE,163.0748061,-77.59542526,1
TRUE,163.1005601,-77.59552996,1
TRUE,163.0782291,-77.59556486,1
TRUE,163.0806741,-77.59573936,1
TRUE,163.1028421,-77.59580916,1
TRUE,163.1044721,-77.59587896,1
TRUE,163.0976261,-77.59598366,1
TRUE,163.0981151,-77.59615816,1
TRUE,163.2519871,-77.59622796,1
TRUE,163.0743171,-77.59626286,1
TRUE,163.2438371,-77.59626286,1
TRUE,163.0808371,-77.59647226,1
TRUE,163.0928991,-77.59664676,1
TRUE,163.1043091,-77.59668166,1
TRUE,163.0938771,-77.59671656,1
TRUE,163.0932251,-77.59685616,1
TRUE,163.1033311,-77.59713536,1
TRUE,163.0782291,-77.59717026,1
TRUE,163.2691021,-77.59751926,1
TRUE,163.3175131,-77.59755416,1
TRUE,163.1054501,-77.59776356,1
TRUE,163.1067541,-77.59797296,1
TRUE,163.1085471,-77.59807766,1
TRUE,163.0995821,-77.59814746,1
TRUE,163.3153941,-77.59814746,1
TRUE,163.0477481,-77.59835686,1
TRUE,163.2669831,-77.59842666,1
TRUE,163.1103401,-77.59846156,1
TRUE,163.3088741,-77.59846156,1
TRUE,163.0635591,-77.59849646,1
TRUE,163.1478301,-77.59849646,1
TRUE,163.0927361,-77.59853136,1
TRUE,163.2681241,-77.59853136,1
TRUE,163.2668201,-77.59863606,1
TRUE,163.0933881,-77.59867096,1
TRUE,163.2242771,-77.59870586,1
TRUE,163.2353611,-77.59874076,1
TRUE,163.2660051,-77.59874076,1
TRUE,163.2440001,-77.59877566,1
TRUE,163.2679611,-77.59877566,1
TRUE,163.1109921,-77.59888036,1
TRUE,163.0987671,-77.59895016,1
TRUE,163.2655161,-77.59898506,1
TRUE,163.1832011,-77.59901996,1
TRUE,163.1866241,-77.59901996,1
TRUE,163.1877651,-77.59926426,1
TRUE,163.0990931,-77.59936896,1
TRUE,163.1893951,-77.59936896,1
TRUE,163.0896391,-77.59940386,1
TRUE,163.2651901,-77.59943876,1
TRUE,163.2202021,-77.59947366,1
TRUE,163.1121331,-77.59950856,1
TRUE,163.2643751,-77.59954346,1
TRUE,163.1030051,-77.59961326,1
TRUE,163.0964851,-77.59978776,1
TRUE,163.0599731,-77.59982266,1
TRUE,163.1036571,-77.59985756,1
TRUE,163.1007231,-77.59992736,1
TRUE,163.2236251,-77.59999716,1
TRUE,163.0968111,-77.60003206,1
TRUE,163.0361751,-77.60006696,1
TRUE,163.1010491,-77.60013676,1
TRUE,163.0376421,-77.60020656,1
TRUE,163.1166971,-77.60031126,1
TRUE,163.1017011,-77.60034616,1
TRUE,163.0749691,-77.60041596,1
TRUE,163.0402501,-77.60048576,1
TRUE,163.1021901,-77.60052066,1
TRUE,163.1025161,-77.60079986,1
TRUE,163.1905361,-77.60079986,1
TRUE,163.2167791,-77.60079986,1
TRUE,163.1204461,-77.60114886,1
TRUE,163.0806741,-77.60121866,1
TRUE,163.1874391,-77.60121866,1
TRUE,163.1810821,-77.60139316,1
TRUE,163.1579361,-77.60146296,1
TRUE,163.0257431,-77.60153276,1
TRUE,163.0731761,-77.60153276,1
TRUE,163.0446511,-77.60163746,1
TRUE,163.1830381,-77.60177706,1
TRUE,163.1633151,-77.60247506,1
TRUE,163.1227281,-77.60254486,1
TRUE,163.1665751,-77.60261466,1
TRUE,163.2242771,-77.60278916,1
TRUE,163.1835271,-77.60282406,1
TRUE,163.2211801,-77.60310326,1
TRUE,163.1662491,-77.60313816,1
TRUE,163.2684501,-77.60313816,1
TRUE,163.2757851,-77.60313816,1
TRUE,163.1525571,-77.60317306,1
TRUE,163.1752141,-77.60324286,1
TRUE,163.1621741,-77.60327776,1
TRUE,163.1701611,-77.60327776,1
TRUE,163.2216691,-77.60331266,1
TRUE,163.0720351,-77.60338246,1
TRUE,163.1784741,-77.60341736,1
TRUE,163.1748881,-77.60352206,1
TRUE,163.2206911,-77.60362676,1
TRUE,163.3282711,-77.60383616,1
TRUE,163.1727691,-77.60387106,1
TRUE,163.1734211,-77.60425496,1
TRUE,163.1957521,-77.60456906,1
TRUE,163.2200391,-77.60502276,1
TRUE,163.1923291,-77.60509256,1
TRUE,163.1797781,-77.60516236,1
TRUE,163.2167791,-77.60516236,1
TRUE,163.2585071,-77.60516236,1
TRUE,162.9970551,-77.60519726,1
TRUE,163.2301451,-77.60519726,1
TRUE,163.1225651,-77.60526706,1
TRUE,163.1323451,-77.60526706,1
TRUE,163.1789631,-77.60540666,1
TRUE,163.1825491,-77.60551136,1
TRUE,163.1781481,-77.60554626,1
TRUE,163.1768441,-77.60558116,1
TRUE,163.1253361,-77.60568586,1
TRUE,163.1796151,-77.60572076,1
TRUE,163.1836901,-77.60572076,1
