OID_,CID,longitude,lattitude
1,1,163.088584040000001,-77.608379670000005
2,2,163.030098790000011,-77.618160639999999
3,3,163.223700369999989,-77.628052310000001
4,4,163.131648259999992,-77.639749089999995
5,5,163.138312969999987,-77.607206070000004
6,6,162.976779459999989,-77.612773309999994
7,7,163.276731149999989,-77.591988430000001
8,8,163.129750819999998,-77.606076619999996
9,9,163.329306199999991,-77.604584230000000
10,10,163.088942580000008,-77.641244520000001
11,11,163.165844859999993,-77.620475099999993
12,12,163.209854479999990,-77.613526429999993
13,13,163.043364099999991,-77.636768419999996
14,14,163.162424030000011,-77.585718869999994
15,15,163.022437630000013,-77.631490650000003
16,16,163.186556090000010,-77.583987109999995
17,17,163.190430539999994,-77.597504110000003
18,18,163.171946359999993,-77.603815929999996
19,19,163.217922939999994,-77.616899149999995
20,20,163.155200979999989,-77.606543099999996
21,21,163.286826160000004,-77.619585319999999
22,22,163.132658859999992,-77.640302000000005
23,23,163.080068380000000,-77.642116040000005
24,24,163.226956430000001,-77.592932739999995
25,25,163.254343129999995,-77.612779110000005
26,26,163.253492700000010,-77.629794730000000
27,27,163.120874469999990,-77.627244739999995
28,28,163.248961970000011,-77.589362199999997
29,29,163.205391929999990,-77.622977270000007
30,30,163.091737050000006,-77.641833860000006
31,31,163.074940760000004,-77.612480390000002
32,32,163.094882890000008,-77.647789959999997
33,33,163.066278430000011,-77.647497729999998
34,34,163.009495670000007,-77.621108359999994
35,35,163.283183220000012,-77.606402689999996
36,36,163.317241359999997,-77.613842289999994
37,37,163.125965119999989,-77.590089579999997
38,38,163.101439779999993,-77.618192960000002
39,39,163.256561379999994,-77.625875199999996
40,40,163.214505150000008,-77.609034190000003
41,41,163.064409369999993,-77.617535450000005
42,42,163.211109789999995,-77.622985689999993
43,43,163.145703870000006,-77.591345709999999
44,44,163.244408749999991,-77.599543359999998
45,45,163.201445809999996,-77.594554529999996
46,46,163.092267939999999,-77.628849149999994
47,47,163.108965320000010,-77.645012559999998
48,48,162.982402729999990,-77.616327540000000
49,49,163.030446490000003,-77.620101590000004
50,50,163.271908510000003,-77.625981620000005
51,51,163.247283579999987,-77.596701710000005
52,52,163.105886900000002,-77.620507119999999
53,53,163.262458979999991,-77.621687609999995
54,54,163.139849900000002,-77.612025910000000
55,55,163.088983600000006,-77.614755529999996
56,56,163.109501609999995,-77.599412610000002
