OID_,pointid,grid_code,longitude,lattitude
1,156949,1,163.096839289999991,-77.593814730000005
2,170752,1,163.098690909999988,-77.594540940000002
3,194151,1,163.081243889999996,-77.595833490000004
4,202094,1,163.074290619999999,-77.596280219999997
5,237563,1,163.099492739999988,-77.598136179999997
6,284599,1,163.216841920000007,-77.600816949999995
7,350460,1,163.216773050000000,-77.605149580000003
8,353339,1,163.125214599999993,-77.605717339999998
9,353523,1,162.994595169999997,-77.606259829999999
10,354515,1,163.178085049999993,-77.605563989999993
11,357070,1,162.992822289999992,-77.606475900000007
12,362784,1,163.214892120000002,-77.605891659999998
13,363916,1,163.183342629999999,-77.606100229999996
14,401390,1,162.999201090000014,-77.608933039999997
15,414208,1,163.001038169999987,-77.609520209999999
16,426947,1,162.999620929999992,-77.610119310000002
17,434625,1,163.010714229999991,-77.610427799999997
18,434626,1,163.010876959999990,-77.610427200000004
19,435407,1,163.010717040000003,-77.610462720000001
20,435408,1,163.010879770000003,-77.610462119999994
21,436204,1,163.010719849999987,-77.610497649999999
22,444754,1,163.198208929999993,-77.610123060000006
23,455191,1,163.201509950000002,-77.610597670000004
24,478532,1,163.026341559999992,-77.612430680000003
25,478533,1,163.026504310000007,-77.612430070000002
26,480679,1,163.028303169999987,-77.612528110000000
27,480680,1,163.028465920000002,-77.612527499999999
28,480681,1,163.028628669999989,-77.612526880000004
29,481386,1,163.028468779999997,-77.612562420000003
30,481387,1,163.028631530000013,-77.612561810000003
31,481389,1,163.028957039999995,-77.612560579999993
32,483413,1,163.029779399999995,-77.612662290000003
33,484102,1,163.027666430000011,-77.612705190000000
34,484115,1,163.029782259999990,-77.612697209999993
35,484116,1,163.029945020000014,-77.612696600000007
36,484787,1,163.027506530000011,-77.612740720000005
37,484788,1,163.027669290000006,-77.612740110000004
38,484802,1,163.029947880000009,-77.612731519999997
39,484803,1,163.030110640000004,-77.612730909999996
40,485501,1,163.027509379999998,-77.612775650000003
41,485502,1,163.027672139999993,-77.612775040000002
42,485513,1,163.029462469999999,-77.612768290000005
43,485517,1,163.030113499999999,-77.612765830000001
44,486231,1,163.031092910000012,-77.612797069999999
45,492403,1,163.033397360000009,-77.613102780000006
46,492404,1,163.033560120000004,-77.613102159999997
47,492405,1,163.033722879999999,-77.613101549999996
48,493088,1,163.033725750000002,-77.613136470000001
49,494477,1,163.034219790000009,-77.613204469999999
50,496450,1,163.034065650000002,-77.613309860000001
51,496454,1,163.034716699999990,-77.613307399999997
52,497123,1,163.034882339999996,-77.613341700000007
53,499089,1,163.034890969999992,-77.613446479999993
54,499090,1,163.035053729999987,-77.613445859999999
55,502930,1,163.036047609999997,-77.613651709999999
56,503559,1,163.036050490000008,-77.613686630000004
57,504203,1,163.036216130000014,-77.613720939999993
58,504811,1,163.036219009999996,-77.613755859999998
59,504812,1,163.036381790000007,-77.613755249999997
60,505432,1,163.036221890000007,-77.613790789999996
61,505435,1,163.036710209999995,-77.613788929999998
62,506046,1,163.036713090000006,-77.613823859999997
63,506669,1,163.036878739999992,-77.613858170000000
64,508668,1,163.193141040000000,-77.613324599999999
65,510421,1,163.038523770000012,-77.614061530000001
66,511057,1,163.038526649999994,-77.614096450000005
67,511058,1,163.038689430000005,-77.614095829999997
68,513401,1,163.038863749999990,-77.614234909999993
69,521611,1,163.072436930000009,-77.614594179999997
70,521612,1,163.072599719999999,-77.614593540000001
71,521613,1,163.072762490000002,-77.614592900000005
72,521614,1,163.072925270000013,-77.614592259999995
73,521615,1,163.073088049999996,-77.614591619999999
74,522184,1,163.060556999999989,-77.614675530000000
75,522237,1,163.072602700000004,-77.614628460000006
76,522238,1,163.072765470000007,-77.614627819999995
77,522239,1,163.072928249999990,-77.614627179999999
78,522240,1,163.073091030000001,-77.614626540000003
79,522241,1,163.073253810000011,-77.614625899999993
80,522242,1,163.073416589999994,-77.614625259999997
81,522244,1,163.073742149999987,-77.614623980000005
82,522859,1,163.072280110000008,-77.614664669999996
83,522860,1,163.072442899999999,-77.614664030000000
84,522864,1,163.073094010000005,-77.614661470000001
85,522866,1,163.073419569999999,-77.614660189999995
