OID_,CID,longitude,lattitude
1,1,-77.608379670000005,163.088584040000001
2,1,-77.618160639999999,163.030098790000011
3,1,-77.628052310000001,163.223700369999989
4,1,-77.639749089999995,163.131648259999992
5,1,-77.607206070000004,163.138312969999987
6,1,-77.612773309999994,162.976779459999989
7,1,-77.591988430000001,163.276731149999989
8,1,-77.606076619999996,163.129750819999998
9,1,-77.604584230000000,163.329306199999991
10,1,-77.641244520000001,163.088942580000008
11,1,-77.620475099999993,163.165844859999993
12,1,-77.613526429999993,163.209854479999990
13,1,-77.636768419999996,163.043364099999991
14,1,-77.585718869999994,163.162424030000011
15,1,-77.631490650000003,163.022437630000013
16,1,-77.583987109999995,163.186556090000010
17,1,-77.597504110000003,163.190430539999994
18,1,-77.603815929999996,163.171946359999993
19,1,-77.616899149999995,163.217922939999994
20,1,-77.606543099999996,163.155200979999989
21,1,-77.619585319999999,163.286826160000004
22,1,-77.640302000000005,163.132658859999992
23,1,-77.642116040000005,163.080068380000000
24,1,-77.592932739999995,163.226956430000001
25,1,-77.612779110000005,163.254343129999995
26,1,-77.629794730000000,163.253492700000010
27,1,-77.627244739999995,163.120874469999990
28,1,-77.589362199999997,163.248961970000011
29,1,-77.622977270000007,163.205391929999990
30,1,-77.641833860000006,163.091737050000006
31,1,-77.612480390000002,163.074940760000004
32,1,-77.647789959999997,163.094882890000008
33,1,-77.647497729999998,163.066278430000011
34,1,-77.621108359999994,163.009495670000007
35,1,-77.606402689999996,163.283183220000012
36,1,-77.613842289999994,163.317241359999997
37,1,-77.590089579999997,163.125965119999989
38,1,-77.618192960000002,163.101439779999993
39,1,-77.625875199999996,163.256561379999994
40,1,-77.609034190000003,163.214505150000008
41,1,-77.617535450000005,163.064409369999993
42,1,-77.622985689999993,163.211109789999995
43,1,-77.591345709999999,163.145703870000006
44,1,-77.599543359999998,163.244408749999991
45,1,-77.594554529999996,163.201445809999996
46,1,-77.628849149999994,163.092267939999999
47,1,-77.645012559999998,163.108965320000010
48,1,-77.616327540000000,162.982402729999990
49,1,-77.620101590000004,163.030446490000003
50,1,-77.625981620000005,163.271908510000003
51,1,-77.596701710000005,163.247283579999987
52,1,-77.620507119999999,163.105886900000002
53,1,-77.621687609999995,163.262458979999991
54,1,-77.612025910000000,163.139849900000002
55,1,-77.614755529999996,163.088983600000006
56,1,-77.599412610000002,163.109501609999995
57,1,-77.635655529999994,163.040114450000004
58,1,-77.605136430000002,163.007438710000002
59,1,-77.617444570000004,163.175501590000010
60,1,-77.589542989999998,163.139318980000013
61,1,-77.646193909999994,163.156081000000000
62,1,-77.595302259999997,163.251663390000004
63,1,-77.630931689999997,163.190672390000003
64,1,-77.612318840000000,163.320444629999997
65,1,-77.606305689999999,163.247341260000013
66,1,-77.621662850000007,163.231829239999996
67,1,-77.607851479999994,163.077877580000006
68,1,-77.601641950000001,163.126382820000003
69,1,-77.606420470000003,163.321610560000011
70,1,-77.627831869999994,163.211303259999994
71,1,-77.652626200000000,163.106992910000002
72,1,-77.629542380000004,163.156892199999987
73,1,-77.613876790000006,163.012424369999991
74,1,-77.627270260000003,163.245472790000008
75,1,-77.606233079999996,163.153728489999992
76,1,-77.597930649999995,163.303864699999991
77,1,-77.641679300000007,163.107088339999990
78,1,-77.632852240000005,163.069441719999986
79,1,-77.609468789999994,163.080954300000002
80,1,-77.623454740000000,163.008662240000007
81,1,-77.645594570000000,163.109431830000005
82,1,-77.590821050000002,163.195986720000008
83,1,-77.629608219999994,163.152319589999991
84,1,-77.618465000000000,162.988337099999995
85,1,-77.617243000000002,163.130561610000001
86,1,-77.606462350000001,163.030169349999994
87,1,-77.589595380000006,163.218755229999999
88,1,-77.613244179999995,163.076832870000004
89,1,-77.631430409999993,163.108907770000002
90,1,-77.599983730000005,163.260799380000009
91,1,-77.591809819999995,163.126489999999990
92,1,-77.604734120000003,163.283567229999989
93,1,-77.621766829999999,163.046163659999991
94,1,-77.602605560000001,163.207974680000007
95,1,-77.595181519999997,163.103581590000005
96,1,-77.629294369999997,163.127915360000003
97,1,-77.606395320000004,163.006522980000000
98,1,-77.615231199999997,163.170926659999992
99,1,-77.627628560000005,163.070945730000005
100,1,-77.631321810000003,163.154622050000000
101,1,-77.605481830000002,163.274205020000011
102,1,-77.597870940000007,163.056544370000012
103,1,-77.632134160000007,163.090557810000007
104,1,-77.608359759999999,163.187087050000002
105,1,-77.602332619999999,163.228956070000010
106,1,-77.604524519999998,163.162067239999999
107,1,-77.649425179999994,163.092969920000002
108,1,-77.637895680000000,163.037532389999996
109,1,-77.614078689999999,163.262460269999991
110,1,-77.616091440000005,163.195942900000006
111,1,-77.635911370000002,163.191359919999996
112,1,-77.624251360000002,163.192808950000000
113,1,-77.618022370000006,162.987129060000001
114,1,-77.619191689999994,163.182304640000012
115,1,-77.619415500000002,163.111417780000011
116,1,-77.586823319999993,163.218579210000001
117,1,-77.595696669999995,163.267451980000004
118,1,-77.637330779999999,163.104730920000009
119,1,-77.622739339999995,163.243350230000004
120,1,-77.613252149999994,163.148350359999995
121,1,-77.613335660000004,163.221042039999986
122,1,-77.583748249999999,163.181225509999990
123,1,-77.629145629999996,163.131081819999991
124,1,-77.613526500000006,163.119310500000012
125,1,-77.635057900000007,163.184887779999997
126,1,-77.619995040000006,163.323578270000013
127,1,-77.624999340000002,163.247781320000001
128,1,-77.640177480000006,163.138615579999993
129,1,-77.609593910000001,162.977242639999986
130,1,-77.638022059999997,163.218309529999999
131,1,-77.619919130000000,163.099299919999993
132,1,-77.617209939999995,163.070851169999997
133,1,-77.649775910000002,163.129584249999994
134,1,-77.604288190000005,163.167616720000012
135,1,-77.604222690000000,163.030066159999990
136,1,-77.640007850000003,163.101133159999989
137,1,-77.592555120000000,163.257560539999986
138,1,-77.618522810000002,162.989061600000014
139,1,-77.613253259999993,162.995607530000001
140,1,-77.626206420000003,163.169981720000010
141,1,-77.646911480000000,163.141261450000002
142,1,-77.598051889999994,163.243225609999996
143,1,-77.602966010000003,163.151408110000006
144,1,-77.640761100000006,163.057496109999988
145,1,-77.627261840000003,163.024556700000005
146,1,-77.619189500000005,163.291962350000006
147,1,-77.615866190000006,163.052757280000009
148,1,-77.610093359999993,162.976523390000011
149,1,-77.587881199999998,163.194098830000001
150,1,-77.595799090000000,163.154327239999986
151,1,-77.648881040000006,163.089865650000007
152,1,-77.627623009999994,163.041650129999994
153,1,-77.638445570000002,163.163106199999987
154,1,-77.644853810000001,163.056725019999988
155,1,-77.652416689999995,163.095279820000002
156,1,-77.603958820000003,163.089778020000011
157,1,-77.611198430000002,163.289589750000005
158,1,-77.644354500000006,163.071737930000012
159,1,-77.607052229999994,163.079917200000011
160,1,-77.600626879999993,163.197771560000007
161,1,-77.631198150000003,163.022266599999995
162,1,-77.603860049999994,163.185176219999988
163,1,-77.616620659999995,163.324777030000007
164,1,-77.610057519999998,163.262592729999994
165,1,-77.620181079999995,163.302451389999987
166,1,-77.595360990000003,163.156971489999989
167,1,-77.601258729999998,163.256597410000012
168,1,-77.608533370000004,163.136790939999997
169,1,-77.592943759999997,163.240714370000006
170,1,-77.625515750000005,163.165762699999988
171,1,-77.596992499999999,163.294795969999996
172,1,-77.645515660000001,163.064896190000013
173,1,-77.600796560000006,163.209481850000003
174,1,-77.602733520000001,163.086639700000006
175,1,-77.593865059999999,163.181718910000001
176,1,-77.604510379999994,163.252505820000010
177,1,-77.624457980000003,163.222278420000009
178,1,-77.602734470000001,163.150849340000008
179,1,-77.603969210000002,163.110624989999991
180,1,-77.624813140000001,163.074654149999986
181,1,-77.602435940000007,163.090156549999989
182,1,-77.624327760000000,163.109253709999990
183,1,-77.597529940000001,163.176771190000011
184,1,-77.599783230000000,163.303042750000003
185,1,-77.591775859999998,163.267852760000011
186,1,-77.621301770000002,163.307666360000013
187,1,-77.613495420000007,163.160854110000002
188,1,-77.630177700000004,163.074099850000010
189,1,-77.609284840000001,162.984464330000009
190,1,-77.621563460000004,163.226189620000014
191,1,-77.609585190000004,163.008334170000012
192,1,-77.636582290000007,163.082319229999996
193,1,-77.623128420000000,163.115778570000003
194,1,-77.601082090000006,163.096645039999999
195,1,-77.602648860000002,163.107158840000011
196,1,-77.610536159999995,163.128350210000008
197,1,-77.635772959999997,163.079402969999990
198,1,-77.595411690000006,163.294804290000002
199,1,-77.597078120000006,163.069433029999999
200,1,-77.622443619999999,162.994308719999992
201,1,-77.621266689999999,163.078990479999987
202,1,-77.597593439999997,163.187307589999989
203,1,-77.599175059999993,163.126819259999991
204,1,-77.618143739999994,163.221058190000008
205,1,-77.604367229999994,163.207211730000012
206,1,-77.603792409999997,163.026489389999995
207,1,-77.641516460000005,163.114181129999992
208,1,-77.637218270000005,163.088049560000002
209,1,-77.655271510000006,163.085293689999986
210,1,-77.599447100000006,163.154922620000008
211,1,-77.590302550000004,163.196220360000012
212,1,-77.630974980000005,163.091045470000012
213,1,-77.586510610000005,163.174439229999990
214,1,-77.588282269999993,163.232812779999989
215,1,-77.646980420000006,163.061627450000003
216,1,-77.619102839999996,163.011382800000007
217,1,-77.593675039999994,163.277880509999989
218,1,-77.585845969999994,163.183551770000008
219,1,-77.589171350000001,163.147412360000004
220,1,-77.598050790000002,163.079190780000005
221,1,-77.638960260000005,163.169007260000001
222,1,-77.606759819999994,163.242735560000000
223,1,-77.608653270000005,163.065368430000007
224,1,-77.629720750000004,163.233150289999998
225,1,-77.604995880000004,163.209087229999994
226,1,-77.619467520000001,163.307396009999991
227,1,-77.614943310000001,163.294726129999987
228,1,-77.615214050000006,163.128412660000009
229,1,-77.647016510000000,163.101790109999996
230,1,-77.649861139999999,163.067224070000009
231,1,-77.628941510000004,163.013543199999987
232,1,-77.633941129999997,163.046558790000006
233,1,-77.597884059999998,163.315062000000012
234,1,-77.593483250000006,163.216920390000013
235,1,-77.593820480000005,163.144205290000002
236,1,-77.624373030000001,163.243671010000014
237,1,-77.629565470000003,163.146959390000006
238,1,-77.585499319999997,163.184652129999989
239,1,-77.624673779999995,163.131522109999992
240,1,-77.621747360000001,163.134892199999996
241,1,-77.593744610000002,163.100340020000004
242,1,-77.609667450000003,163.087396200000001
243,1,-77.598958949999997,163.311134500000009
244,1,-77.591549709999995,163.167512240000008
245,1,-77.645462969999997,163.101553410000008
246,1,-77.629041819999998,163.025406769999989
247,1,-77.640489709999997,163.163997529999989
248,1,-77.600874759999996,163.262460570000002
249,1,-77.614967669999999,163.281618290000011
250,1,-77.623659309999994,163.174823510000010
251,1,-77.607479499999997,163.230672290000001
252,1,-77.620452200000003,163.057766670000007
253,1,-77.642154829999996,163.049543300000011
254,1,-77.615202199999999,163.117244279999994
255,1,-77.597772849999998,163.262145019999991
256,1,-77.627114210000002,163.161387740000009
257,1,-77.611475909999996,163.186437009999992
258,1,-77.625622989999997,163.171354559999997
259,1,-77.613922290000005,163.012149260000001
260,1,-77.596477759999999,163.148510210000012
261,1,-77.624164309999998,163.192969199999993
262,1,-77.599148589999999,163.221106810000009
263,1,-77.602519630000003,163.308145160000009
264,1,-77.636204079999999,163.108193470000003
265,1,-77.592443459999998,163.109630320000008
266,1,-77.639174920000002,163.050790909999989
267,1,-77.642855190000006,163.165274259999990
268,1,-77.630429390000003,163.185304339999988
269,1,-77.614438419999999,163.165426980000007
270,1,-77.600230550000006,163.040314059999986
271,1,-77.612916720000001,163.187159549999990
272,1,-77.611663719999996,163.162922170000002
273,1,-77.609517870000005,162.989104150000003
274,1,-77.610874179999996,163.203312170000004
275,1,-77.609986280000001,163.206568129999994
276,1,-77.614355360000005,163.075740090000011
277,1,-77.624781679999998,163.004122740000014
278,1,-77.631391949999994,163.225417200000010
279,1,-77.605646399999998,163.046816379999996
280,1,-77.603487110000003,163.286056110000004
281,1,-77.636462170000001,163.203814260000001
282,1,-77.641000250000005,163.082415379999986
283,1,-77.607408879999994,163.322930899999989
284,1,-77.605442510000003,163.073981129999993
285,1,-77.607987309999999,162.999371830000001
286,1,-77.593069439999994,163.146198550000008
287,1,-77.630520730000001,163.252884359999996
288,1,-77.626636669999996,163.059580740000001
289,1,-77.597448330000006,163.123433330000012
290,1,-77.620893640000006,163.167477910000002
291,1,-77.623732959999998,163.019595339999995
292,1,-77.632224289999996,163.203929170000009
293,1,-77.630731179999998,163.143515409999992
294,1,-77.609546379999998,163.102108890000011
295,1,-77.612926799999997,163.134859430000006
296,1,-77.624635299999994,163.261808849999994
297,1,-77.589898719999994,163.201841019999989
298,1,-77.608701749999994,163.208542359999996
299,1,-77.640057389999996,163.042154640000007
300,1,-77.650807490000005,163.088798109999999
301,1,-77.609103020000006,163.148892859999989
302,1,-77.599782200000007,163.248294840000000
303,1,-77.601587730000006,163.183474490000009
304,1,-77.638208190000000,163.101984640000012
305,1,-77.647834900000007,163.124380919999993
306,1,-77.617344560000006,163.167641010000011
307,1,-77.614877120000003,163.278867749999989
308,1,-77.586761080000002,163.217636690000006
309,1,-77.597399170000003,163.199954920000010
310,1,-77.619275860000002,163.196697889999996
311,1,-77.592745960000002,163.273751269999991
312,1,-77.604540470000003,163.037909030000009
313,1,-77.641133920000001,163.143613200000004
314,1,-77.642491829999997,163.164774389999991
315,1,-77.635662289999999,163.091111490000003
316,1,-77.634339589999996,163.182328869999992
317,1,-77.597751889999998,163.086869710000002
318,1,-77.644298599999999,163.136137240000011
319,1,-77.618640679999999,163.143736630000006
320,1,-77.612556880000000,163.249072100000006
321,1,-77.605997340000002,163.169895160000010
322,1,-77.616091159999996,163.032745309999996
323,1,-77.617715200000006,163.009365599999995
324,1,-77.632978249999994,163.143159459999993
325,1,-77.633056870000004,163.219035689999998
326,1,-77.628058969999998,163.199687920000002
327,1,-77.608735719999999,163.211892180000007
328,1,-77.626785850000005,163.019225460000001
329,1,-77.608214349999997,163.047339050000005
330,1,-77.609350059999997,163.011750790000008
331,1,-77.603755430000007,163.041266049999990
332,1,-77.637304810000003,163.137209869999992
333,1,-77.616650879999995,162.978833610000009
