"","SD","species","long_degrees","lat_degrees","presence"
"1",6838,"mat",163.3369271,-77.61800387,0
"2",10620,"mat",163.3154689,-77.62775136,0
"3",10125,"mat",163.1668204,-77.64900475,0
"4",10965,"mat",163.3386566,-77.61436167,0
"5",6980,"mat",163.2557794,-77.62586602,0
"6",6078,"mat",163.327996,-77.6290534,0
"7",9990,"mat",163.0927717,-77.59564777,0
"8",7325,"mat",163.1891217,-77.59321803,0
"9",10426,"mat",163.0556939,-77.64788379,0
"10",4710,"mat",163.1742312,-77.65141869,0
"11",1796,"mat",163.2405865,-77.59417648,0
"12",7390,"mat",163.0641483,-77.64746675,0
"13",3358,"mat",163.2699668,-77.59854823,0
"14",9442,"mat",163.2333771,-77.61185302,0
"15",6214,"mat",163.053847,-77.6356283,0
"16",9607,"mat",163.318461,-77.61278288,0
"17",10777,"mat",163.2435234,-77.62225355,0
"18",2651,"mat",163.293667,-77.6234182,0
"19",6025,"mat",163.104271,-77.60810876,0
"20",1061,"mat",163.1010995,-77.62950284,0
"21",10639,"mat",163.1871268,-77.62205032,0
"22",9740,"mat",163.1873199,-77.58962731,0
"23",8835,"mat",163.0311593,-77.60566989,0
"24",2769,"mat",163.112967,-77.59787188,0
"25",4300,"mat",163.0978392,-77.62577773,0
"26",1797,"mat",163.3330952,-77.6264081,0
"27",5119,"mat",163.2714628,-77.61656965,0
"28",4871,"mat",163.2531988,-77.62287316,0
"29",4659,"mat",163.2236425,-77.63226579,0
"30",6347,"mat",163.3107434,-77.59342878,0
"31",9350,"mat",163.1228961,-77.64352869,0
"32",3043,"mat",163.1451577,-77.59420989,0
"33",2820,"mat",163.2649881,-77.62505489,0
"34",2686,"mat",163.1198795,-77.64630107,0
"35",4653,"mat",163.2798046,-77.60412737,0
"36",2052,"mat",163.1473533,-77.63434352,0
"37",8881,"mat",163.2279538,-77.62466486,0
"38",10378,"mat",163.2347186,-77.62550782,0
"39",6709,"mat",163.0037322,-77.63714442,0
"40",10607,"mat",163.2899961,-77.62416928,0
"41",5215,"mat",163.3043745,-77.6119771,0
"42",7275,"mat",163.1900168,-77.61815965,0
"43",9640,"mat",163.1100876,-77.62974597,0
"44",4805,"mat",163.1844902,-77.6269181,0
"45",10599,"mat",163.0391493,-77.60193635,0
"46",3488,"mat",163.1074864,-77.64645632,0
"47",1620,"mat",163.2172569,-77.60846653,0
"48",3341,"mat",163.1877003,-77.62466815,0
"49",7749,"mat",163.0246601,-77.6497136,0
"50",10537,"mat",163.1969075,-77.63577314,0
"51",6559,"mat",163.1266816,-77.6039295,0
"52",4246,"mat",163.2922633,-77.62244655,0
"53",6652,"mat",163.2994091,-77.59072288,0
"54",6487,"mat",163.0805242,-77.6442583,0
"55",9945,"mat",163.2308017,-77.58555618,0
"56",3515,"mat",163.2543658,-77.6215052,0
"57",10571,"mat",163.0686002,-77.64032238,0
"58",7232,"mat",163.2922841,-77.60364926,0
"59",4840,"mat",163.2836549,-77.62112453,0
"60",5317,"mat",163.1996638,-77.63901028,0
"61",5901,"mat",163.2283008,-77.64653463,0
"62",1865,"mat",163.2562126,-77.61716433,0
"63",9788,"mat",163.155144,-77.62330545,0
"64",8916,"mat",163.1322302,-77.60411615,0
"65",1471,"mat",163.0137434,-77.6076217,0
"66",2459,"mat",163.1313997,-77.60031146,0
"67",3072,"mat",163.0021536,-77.64392773,0
"68",3507,"mat",163.0680953,-77.60374601,0
"69",4282,"mat",163.2182003,-77.62324113,0
"70",3748,"mat",163.0417846,-77.63375304,0
"71",1212,"mat",163.3068629,-77.60459302,0
"72",8767,"mat",163.3111705,-77.62717805,0
"73",5399,"mat",163.326637,-77.61773961,0
"74",1197,"mat",163.097306,-77.60289637,0
"75",5401,"mat",163.2874188,-77.63399929,0
"76",8751,"mat",163.2259316,-77.58225902,0
"77",2245,"mat",163.3479609,-77.60697852,0
"78",3948,"mat",163.0406649,-77.60255942,0
"79",5854,"mat",163.2700781,-77.62059405,0
"80",9340,"mat",163.2468325,-77.61947833,0
"81",9115,"mat",163.2828631,-77.61815844,0
"82",5420,"mat",163.3457584,-77.60768819,0
"83",4151,"mat",163.2124257,-77.59381409,0
"84",4247,"mat",163.2582091,-77.60782653,0
"85",7127,"mat",163.2276485,-77.62487586,0
"86",3597,"mat",163.214011,-77.62710296,0
"87",5654,"mat",163.1345566,-77.59383499,0
"88",8194,"mat",163.2927835,-77.61325512,0
"89",1970,"mat",163.078118,-77.60489441,0
"90",2398,"mat",163.0523115,-77.60565898,0
"91",7309,"mat",163.2938735,-77.60486459,0
"92",3058,"mat",163.1681013,-77.6312161,0
"93",2307,"mat",163.290104,-77.59667178,0
"94",1210,"mat",163.2145455,-77.61578066,0
"95",2335,"mat",163.2155478,-77.58237546,0
"96",6880,"mat",163.0778595,-77.63794531,0
"97",8127,"mat",163.1710942,-77.59864154,0
"98",4309,"mat",163.0780223,-77.60947146,0
"99",3278,"mat",163.2364728,-77.62511557,0
"100",7281,"mat",163.3479489,-77.61445569,0
"101",3806,"mat",163.3481606,-77.62857032,0
"102",4823,"mat",163.0959085,-77.59619416,0
"103",10582,"mat",163.1707058,-77.63291689,0
"104",6107,"mat",163.0420121,-77.60311325,0
"105",3372,"mat",163.1326193,-77.63733968,0
"106",9951,"mat",163.3081783,-77.61098059,0
"107",9148,"mat",163.2965826,-77.60904441,0
"108",10531,"mat",163.3047674,-77.59380685,0
"109",1304,"mat",163.2254884,-77.62111223,0
"110",7968,"mat",163.2121745,-77.643532,0
"111",6515,"mat",163.0781788,-77.60370633,0
"112",1666,"mat",163.1722125,-77.6403172,0
"113",10634,"mat",163.1877239,-77.63525418,0
"114",10394,"mat",163.3201305,-77.6240253,0
"115",7636,"mat",163.1641949,-77.59262692,0
"116",7167,"mat",163.2078336,-77.5883143,0
"117",10411,"mat",163.2076783,-77.61549669,0
"118",4210,"mat",163.213514,-77.61690327,0
"119",4116,"mat",163.1550672,-77.63487004,0
"120",10703,"mat",163.0285597,-77.60770599,0
"121",3939,"mat",163.2802496,-77.5909184,0
"122",6721,"mat",163.2411304,-77.59144881,0
"123",10764,"mat",163.216982,-77.58208955,0
"124",6665,"mat",163.2028046,-77.59350735,0
"125",1332,"mat",163.1457201,-77.64860477,0
"126",4544,"mat",163.2818876,-77.61498358,0
"127",6839,"mat",163.1330268,-77.59670619,0
"128",10542,"mat",163.3085528,-77.62083166,0
"129",10775,"mat",163.2832474,-77.60757015,0
"130",7361,"mat",163.3014813,-77.59347317,0
"131",3505,"mat",163.0877945,-77.62270856,0
"132",3443,"mat",163.1504947,-77.59212611,0
"133",8797,"mat",163.2800908,-77.5973479,0
"134",6273,"mat",163.3273049,-77.62406041,0
"135",8277,"mat",163.2600154,-77.59499574,0
"136",3335,"mat",163.1856079,-77.5869795,0
"137",2230,"mat",163.2571539,-77.6200599,0
"138",6702,"mat",163.2488744,-77.64001283,0
"139",2174,"mat",163.305524,-77.62147506,0
"140",7438,"mat",163.0432308,-77.65114571,0
"141",1764,"mat",163.2868565,-77.61897818,0
"142",4435,"mat",163.2834947,-77.62433966,0
"143",1079,"mat",163.0114821,-77.64424276,0
