"","tab.name","tab.mean1","tab.mean2","tab.sd1","tab.sd2"
"1","ANN",0.9416,0.8012,0.0230390972045347,0.034186254547698
"2","CTA",0.91,0.7798,0.0180831413200251,0.0325376704759268
"3","FDA",0.9598,0.7954,0.0132174127574197,0.0163340135912763
"4","GAM",0.9472,0.7892,0.0140071410359145,0.0337446292022894
"5","GBM",0.9602,0.8152,0.0105688220724923,0.0258592343274119
"6","GLM",0.9548,0.8098,0.0181576430188502,0.0473571536306818
"7","MARS",0.9576,0.8138,0.013145341380124,0.0317600377833528
"8","MAXENT.Phillips.2",0.962,0.8142,0.0141950695665784,0.0498718357392226
"9","RF",0.943,0.7602,0.0142126704035519,0.0398208488106419
"10","SRE",0.4696,0,0.0208398656425611,0
