"","Model.name","Algo","Run","Dataset","Expl.var","Rand","Var.imp"
"1","AllData_RUN1_GLM","GLM","RUN1","AllData","Aspect","rand1",0.112396
"2","AllData_RUN1_GLM","GLM","RUN1","AllData","Average_GCW","rand1",0.382189
"3","AllData_RUN1_GLM","GLM","RUN1","AllData","Average_snow","rand1",0.43178
"4","AllData_RUN1_GLM","GLM","RUN1","AllData","Elevation","rand1",0.016424
"5","AllData_RUN1_GLM","GLM","RUN1","AllData","Slope","rand1",0.035412
"6","AllData_RUN1_GLM","GLM","RUN1","AllData","Aspect","rand2",0.116654
"7","AllData_RUN1_GLM","GLM","RUN1","AllData","Average_GCW","rand2",0.379261
"8","AllData_RUN1_GLM","GLM","RUN1","AllData","Average_snow","rand2",0.439222
"9","AllData_RUN1_GLM","GLM","RUN1","AllData","Elevation","rand2",0.01649
"10","AllData_RUN1_GLM","GLM","RUN1","AllData","Slope","rand2",0.03483
"11","AllData_RUN1_GLM","GLM","RUN1","AllData","Aspect","rand3",0.111789
"12","AllData_RUN1_GLM","GLM","RUN1","AllData","Average_GCW","rand3",0.377406
"13","AllData_RUN1_GLM","GLM","RUN1","AllData","Average_snow","rand3",0.427784
"14","AllData_RUN1_GLM","GLM","RUN1","AllData","Elevation","rand3",0.017214
"15","AllData_RUN1_GLM","GLM","RUN1","AllData","Slope","rand3",0.035429
"16","AllData_RUN1_GBM","GBM","RUN1","AllData","Aspect","rand1",0.0349
"17","AllData_RUN1_GBM","GBM","RUN1","AllData","Average_GCW","rand1",0.396144
"18","AllData_RUN1_GBM","GBM","RUN1","AllData","Average_snow","rand1",0.526103
"19","AllData_RUN1_GBM","GBM","RUN1","AllData","Elevation","rand1",0.00913399999999998
"20","AllData_RUN1_GBM","GBM","RUN1","AllData","Slope","rand1",0.010568
"21","AllData_RUN1_GBM","GBM","RUN1","AllData","Aspect","rand2",0.036196
"22","AllData_RUN1_GBM","GBM","RUN1","AllData","Average_GCW","rand2",0.409019
"23","AllData_RUN1_GBM","GBM","RUN1","AllData","Average_snow","rand2",0.522126
"24","AllData_RUN1_GBM","GBM","RUN1","AllData","Elevation","rand2",0.00860399999999995
"25","AllData_RUN1_GBM","GBM","RUN1","AllData","Slope","rand2",0.010556
"26","AllData_RUN1_GBM","GBM","RUN1","AllData","Aspect","rand3",0.035832
"27","AllData_RUN1_GBM","GBM","RUN1","AllData","Average_GCW","rand3",0.402648
"28","AllData_RUN1_GBM","GBM","RUN1","AllData","Average_snow","rand3",0.522386
"29","AllData_RUN1_GBM","GBM","RUN1","AllData","Elevation","rand3",0.009158
"30","AllData_RUN1_GBM","GBM","RUN1","AllData","Slope","rand3",0.010352
"31","AllData_RUN1_GAM","GAM","RUN1","AllData","Aspect","rand1",0.144116
"32","AllData_RUN1_GAM","GAM","RUN1","AllData","Average_GCW","rand1",0.412815
"33","AllData_RUN1_GAM","GAM","RUN1","AllData","Average_snow","rand1",0.452577
"34","AllData_RUN1_GAM","GAM","RUN1","AllData","Elevation","rand1",0.090318
"35","AllData_RUN1_GAM","GAM","RUN1","AllData","Slope","rand1",0.0531509999999999
"36","AllData_RUN1_GAM","GAM","RUN1","AllData","Aspect","rand2",0.140695
"37","AllData_RUN1_GAM","GAM","RUN1","AllData","Average_GCW","rand2",0.409761
"38","AllData_RUN1_GAM","GAM","RUN1","AllData","Average_snow","rand2",0.467159
"39","AllData_RUN1_GAM","GAM","RUN1","AllData","Elevation","rand2",0.088521
"40","AllData_RUN1_GAM","GAM","RUN1","AllData","Slope","rand2",0.055239
"41","AllData_RUN1_GAM","GAM","RUN1","AllData","Aspect","rand3",0.145647
"42","AllData_RUN1_GAM","GAM","RUN1","AllData","Average_GCW","rand3",0.411807
"43","AllData_RUN1_GAM","GAM","RUN1","AllData","Average_snow","rand3",0.464511
"44","AllData_RUN1_GAM","GAM","RUN1","AllData","Elevation","rand3",0.0959950000000001
"45","AllData_RUN1_GAM","GAM","RUN1","AllData","Slope","rand3",0.055902
"46","AllData_RUN1_CTA","CTA","RUN1","AllData","Aspect","rand1",0
"47","AllData_RUN1_CTA","CTA","RUN1","AllData","Average_GCW","rand1",0.390501
"48","AllData_RUN1_CTA","CTA","RUN1","AllData","Average_snow","rand1",0.577873
"49","AllData_RUN1_CTA","CTA","RUN1","AllData","Elevation","rand1",0
"50","AllData_RUN1_CTA","CTA","RUN1","AllData","Slope","rand1",0
"51","AllData_RUN1_CTA","CTA","RUN1","AllData","Aspect","rand2",0
"52","AllData_RUN1_CTA","CTA","RUN1","AllData","Average_GCW","rand2",0.387518
"53","AllData_RUN1_CTA","CTA","RUN1","AllData","Average_snow","rand2",0.585548
"54","AllData_RUN1_CTA","CTA","RUN1","AllData","Elevation","rand2",0
"55","AllData_RUN1_CTA","CTA","RUN1","AllData","Slope","rand2",0
"56","AllData_RUN1_CTA","CTA","RUN1","AllData","Aspect","rand3",0
"57","AllData_RUN1_CTA","CTA","RUN1","AllData","Average_GCW","rand3",0.388908
"58","AllData_RUN1_CTA","CTA","RUN1","AllData","Average_snow","rand3",0.581715
"59","AllData_RUN1_CTA","CTA","RUN1","AllData","Elevation","rand3",0
"60","AllData_RUN1_CTA","CTA","RUN1","AllData","Slope","rand3",0
"61","AllData_RUN1_ANN","ANN","RUN1","AllData","Aspect","rand1",0.0829569999999999
"62","AllData_RUN1_ANN","ANN","RUN1","AllData","Average_GCW","rand1",0.347015
"63","AllData_RUN1_ANN","ANN","RUN1","AllData","Average_snow","rand1",0.540598
"64","AllData_RUN1_ANN","ANN","RUN1","AllData","Elevation","rand1",0.123056
"65","AllData_RUN1_ANN","ANN","RUN1","AllData","Slope","rand1",0.096515
"66","AllData_RUN1_ANN","ANN","RUN1","AllData","Aspect","rand2",0.084572
"67","AllData_RUN1_ANN","ANN","RUN1","AllData","Average_GCW","rand2",0.350019
"68","AllData_RUN1_ANN","ANN","RUN1","AllData","Average_snow","rand2",0.547828
"69","AllData_RUN1_ANN","ANN","RUN1","AllData","Elevation","rand2",0.122853
"70","AllData_RUN1_ANN","ANN","RUN1","AllData","Slope","rand2",0.091942
"71","AllData_RUN1_ANN","ANN","RUN1","AllData","Aspect","rand3",0.086566
"72","AllData_RUN1_ANN","ANN","RUN1","AllData","Average_GCW","rand3",0.345969
"73","AllData_RUN1_ANN","ANN","RUN1","AllData","Average_snow","rand3",0.536496
"74","AllData_RUN1_ANN","ANN","RUN1","AllData","Elevation","rand3",0.125484
"75","AllData_RUN1_ANN","ANN","RUN1","AllData","Slope","rand3",0.086881
"76","AllData_RUN1_SRE","SRE","RUN1","AllData","Aspect","rand1",0.414001
"77","AllData_RUN1_SRE","SRE","RUN1","AllData","Average_GCW","rand1",0.061898
"78","AllData_RUN1_SRE","SRE","RUN1","AllData","Average_snow","rand1",0.00512400000000002
"79","AllData_RUN1_SRE","SRE","RUN1","AllData","Elevation","rand1",0.356145
"80","AllData_RUN1_SRE","SRE","RUN1","AllData","Slope","rand1",0.210168
"81","AllData_RUN1_SRE","SRE","RUN1","AllData","Aspect","rand2",0.404565
"82","AllData_RUN1_SRE","SRE","RUN1","AllData","Average_GCW","rand2",0.06316
"83","AllData_RUN1_SRE","SRE","RUN1","AllData","Average_snow","rand2",0.00427200000000005
"84","AllData_RUN1_SRE","SRE","RUN1","AllData","Elevation","rand2",0.365315
"85","AllData_RUN1_SRE","SRE","RUN1","AllData","Slope","rand2",0.207355
"86","AllData_RUN1_SRE","SRE","RUN1","AllData","Aspect","rand3",0.409537
"87","AllData_RUN1_SRE","SRE","RUN1","AllData","Average_GCW","rand3",0.065595
"88","AllData_RUN1_SRE","SRE","RUN1","AllData","Average_snow","rand3",0.00597400000000003
"89","AllData_RUN1_SRE","SRE","RUN1","AllData","Elevation","rand3",0.357925
"90","AllData_RUN1_SRE","SRE","RUN1","AllData","Slope","rand3",0.205679
"91","AllData_RUN1_FDA","FDA","RUN1","AllData","Aspect","rand1",0.00139999999999996
"92","AllData_RUN1_FDA","FDA","RUN1","AllData","Average_GCW","rand1",0.142988
"93","AllData_RUN1_FDA","FDA","RUN1","AllData","Average_snow","rand1",0.81808
"94","AllData_RUN1_FDA","FDA","RUN1","AllData","Elevation","rand1",0
"95","AllData_RUN1_FDA","FDA","RUN1","AllData","Slope","rand1",0
"96","AllData_RUN1_FDA","FDA","RUN1","AllData","Aspect","rand2",0.00147699999999995
"97","AllData_RUN1_FDA","FDA","RUN1","AllData","Average_GCW","rand2",0.141671
"98","AllData_RUN1_FDA","FDA","RUN1","AllData","Average_snow","rand2",0.803256
"99","AllData_RUN1_FDA","FDA","RUN1","AllData","Elevation","rand2",0
"100","AllData_RUN1_FDA","FDA","RUN1","AllData","Slope","rand2",0
"101","AllData_RUN1_FDA","FDA","RUN1","AllData","Aspect","rand3",0.00156000000000001
"102","AllData_RUN1_FDA","FDA","RUN1","AllData","Average_GCW","rand3",0.13932
"103","AllData_RUN1_FDA","FDA","RUN1","AllData","Average_snow","rand3",0.811611
"104","AllData_RUN1_FDA","FDA","RUN1","AllData","Elevation","rand3",0
"105","AllData_RUN1_FDA","FDA","RUN1","AllData","Slope","rand3",0
"106","AllData_RUN1_MARS","MARS","RUN1","AllData","Aspect","rand1",0.146291
"107","AllData_RUN1_MARS","MARS","RUN1","AllData","Average_GCW","rand1",0.399798
"108","AllData_RUN1_MARS","MARS","RUN1","AllData","Average_snow","rand1",0.478635
"109","AllData_RUN1_MARS","MARS","RUN1","AllData","Elevation","rand1",0.00913600000000003
"110","AllData_RUN1_MARS","MARS","RUN1","AllData","Slope","rand1",0.026233
"111","AllData_RUN1_MARS","MARS","RUN1","AllData","Aspect","rand2",0.149001
"112","AllData_RUN1_MARS","MARS","RUN1","AllData","Average_GCW","rand2",0.404175
"113","AllData_RUN1_MARS","MARS","RUN1","AllData","Average_snow","rand2",0.475148
"114","AllData_RUN1_MARS","MARS","RUN1","AllData","Elevation","rand2",0.00907800000000003
"115","AllData_RUN1_MARS","MARS","RUN1","AllData","Slope","rand2",0.025183
"116","AllData_RUN1_MARS","MARS","RUN1","AllData","Aspect","rand3",0.147964
"117","AllData_RUN1_MARS","MARS","RUN1","AllData","Average_GCW","rand3",0.394125
"118","AllData_RUN1_MARS","MARS","RUN1","AllData","Average_snow","rand3",0.476496
"119","AllData_RUN1_MARS","MARS","RUN1","AllData","Elevation","rand3",0.00890100000000005
"120","AllData_RUN1_MARS","MARS","RUN1","AllData","Slope","rand3",0.026176
"121","AllData_RUN1_RF","RF","RUN1","AllData","Aspect","rand1",0.033006
"122","AllData_RUN1_RF","RF","RUN1","AllData","Average_GCW","rand1",0.179759
"123","AllData_RUN1_RF","RF","RUN1","AllData","Average_snow","rand1",0.72095
"124","AllData_RUN1_RF","RF","RUN1","AllData","Elevation","rand1",0.034921
