"","Model.name","Algo","Run","Dataset","Expl.var","Rand","Var.imp"
"1","AllData_RUN1_GLM","GLM","RUN1","AllData","Aspect","rand1",0.089375
"2","AllData_RUN1_GLM","GLM","RUN1","AllData","Average_GCW","rand1",0.392661
"3","AllData_RUN1_GLM","GLM","RUN1","AllData","Average_snow","rand1",0.460851
"4","AllData_RUN1_GLM","GLM","RUN1","AllData","Elevation","rand1",0.0218930000000001
"5","AllData_RUN1_GLM","GLM","RUN1","AllData","Slope","rand1",0.039481
"6","AllData_RUN1_GLM","GLM","RUN1","AllData","Aspect","rand2",0.090506
"7","AllData_RUN1_GLM","GLM","RUN1","AllData","Average_GCW","rand2",0.390272
"8","AllData_RUN1_GLM","GLM","RUN1","AllData","Average_snow","rand2",0.458857
"9","AllData_RUN1_GLM","GLM","RUN1","AllData","Elevation","rand2",0.02163
"10","AllData_RUN1_GLM","GLM","RUN1","AllData","Slope","rand2",0.039322
"11","AllData_RUN1_GLM","GLM","RUN1","AllData","Aspect","rand3",0.090744
"12","AllData_RUN1_GLM","GLM","RUN1","AllData","Average_GCW","rand3",0.401054
"13","AllData_RUN1_GLM","GLM","RUN1","AllData","Average_snow","rand3",0.449267
"14","AllData_RUN1_GLM","GLM","RUN1","AllData","Elevation","rand3",0.020826
"15","AllData_RUN1_GLM","GLM","RUN1","AllData","Slope","rand3",0.038457
"16","AllData_RUN1_GBM","GBM","RUN1","AllData","Aspect","rand1",0.021442
"17","AllData_RUN1_GBM","GBM","RUN1","AllData","Average_GCW","rand1",0.405963
"18","AllData_RUN1_GBM","GBM","RUN1","AllData","Average_snow","rand1",0.494323
"19","AllData_RUN1_GBM","GBM","RUN1","AllData","Elevation","rand1",0.019332
"20","AllData_RUN1_GBM","GBM","RUN1","AllData","Slope","rand1",0.011249
"21","AllData_RUN1_GBM","GBM","RUN1","AllData","Aspect","rand2",0.0210900000000001
"22","AllData_RUN1_GBM","GBM","RUN1","AllData","Average_GCW","rand2",0.410298
"23","AllData_RUN1_GBM","GBM","RUN1","AllData","Average_snow","rand2",0.49961
"24","AllData_RUN1_GBM","GBM","RUN1","AllData","Elevation","rand2",0.020612
"25","AllData_RUN1_GBM","GBM","RUN1","AllData","Slope","rand2",0.011432
"26","AllData_RUN1_GBM","GBM","RUN1","AllData","Aspect","rand3",0.021584
"27","AllData_RUN1_GBM","GBM","RUN1","AllData","Average_GCW","rand3",0.41131
"28","AllData_RUN1_GBM","GBM","RUN1","AllData","Average_snow","rand3",0.495481
"29","AllData_RUN1_GBM","GBM","RUN1","AllData","Elevation","rand3",0.019226
"30","AllData_RUN1_GBM","GBM","RUN1","AllData","Slope","rand3",0.011278
"31","AllData_RUN1_GAM","GAM","RUN1","AllData","Aspect","rand1",0.101841
"32","AllData_RUN1_GAM","GAM","RUN1","AllData","Average_GCW","rand1",0.447533
"33","AllData_RUN1_GAM","GAM","RUN1","AllData","Average_snow","rand1",0.45037
"34","AllData_RUN1_GAM","GAM","RUN1","AllData","Elevation","rand1",0.108426
"35","AllData_RUN1_GAM","GAM","RUN1","AllData","Slope","rand1",0.065287
"36","AllData_RUN1_GAM","GAM","RUN1","AllData","Aspect","rand2",0.100861
"37","AllData_RUN1_GAM","GAM","RUN1","AllData","Average_GCW","rand2",0.442641
"38","AllData_RUN1_GAM","GAM","RUN1","AllData","Average_snow","rand2",0.442812
"39","AllData_RUN1_GAM","GAM","RUN1","AllData","Elevation","rand2",0.11213
"40","AllData_RUN1_GAM","GAM","RUN1","AllData","Slope","rand2",0.064654
"41","AllData_RUN1_GAM","GAM","RUN1","AllData","Aspect","rand3",0.101177
"42","AllData_RUN1_GAM","GAM","RUN1","AllData","Average_GCW","rand3",0.435263
"43","AllData_RUN1_GAM","GAM","RUN1","AllData","Average_snow","rand3",0.439649
"44","AllData_RUN1_GAM","GAM","RUN1","AllData","Elevation","rand3",0.113488
"45","AllData_RUN1_GAM","GAM","RUN1","AllData","Slope","rand3",0.065847
"46","AllData_RUN1_CTA","CTA","RUN1","AllData","Aspect","rand1",0
"47","AllData_RUN1_CTA","CTA","RUN1","AllData","Average_GCW","rand1",0.319854
"48","AllData_RUN1_CTA","CTA","RUN1","AllData","Average_snow","rand1",0.653189
"49","AllData_RUN1_CTA","CTA","RUN1","AllData","Elevation","rand1",0
"50","AllData_RUN1_CTA","CTA","RUN1","AllData","Slope","rand1",0
"51","AllData_RUN1_CTA","CTA","RUN1","AllData","Aspect","rand2",0
"52","AllData_RUN1_CTA","CTA","RUN1","AllData","Average_GCW","rand2",0.318699
"53","AllData_RUN1_CTA","CTA","RUN1","AllData","Average_snow","rand2",0.6487
"54","AllData_RUN1_CTA","CTA","RUN1","AllData","Elevation","rand2",0
"55","AllData_RUN1_CTA","CTA","RUN1","AllData","Slope","rand2",0
"56","AllData_RUN1_CTA","CTA","RUN1","AllData","Aspect","rand3",0
"57","AllData_RUN1_CTA","CTA","RUN1","AllData","Average_GCW","rand3",0.312618
"58","AllData_RUN1_CTA","CTA","RUN1","AllData","Average_snow","rand3",0.651057
"59","AllData_RUN1_CTA","CTA","RUN1","AllData","Elevation","rand3",0
"60","AllData_RUN1_CTA","CTA","RUN1","AllData","Slope","rand3",0
"61","AllData_RUN1_ANN","ANN","RUN1","AllData","Aspect","rand1",0.227735
"62","AllData_RUN1_ANN","ANN","RUN1","AllData","Average_GCW","rand1",0.378075
"63","AllData_RUN1_ANN","ANN","RUN1","AllData","Average_snow","rand1",0.464148
"64","AllData_RUN1_ANN","ANN","RUN1","AllData","Elevation","rand1",0.137162
"65","AllData_RUN1_ANN","ANN","RUN1","AllData","Slope","rand1",0.159504
"66","AllData_RUN1_ANN","ANN","RUN1","AllData","Aspect","rand2",0.221392
"67","AllData_RUN1_ANN","ANN","RUN1","AllData","Average_GCW","rand2",0.389166
"68","AllData_RUN1_ANN","ANN","RUN1","AllData","Average_snow","rand2",0.461419
"69","AllData_RUN1_ANN","ANN","RUN1","AllData","Elevation","rand2",0.138683
"70","AllData_RUN1_ANN","ANN","RUN1","AllData","Slope","rand2",0.161816
"71","AllData_RUN1_ANN","ANN","RUN1","AllData","Aspect","rand3",0.227403
"72","AllData_RUN1_ANN","ANN","RUN1","AllData","Average_GCW","rand3",0.384825
"73","AllData_RUN1_ANN","ANN","RUN1","AllData","Average_snow","rand3",0.449691
"74","AllData_RUN1_ANN","ANN","RUN1","AllData","Elevation","rand3",0.134913
"75","AllData_RUN1_ANN","ANN","RUN1","AllData","Slope","rand3",0.158454
"76","AllData_RUN1_SRE","SRE","RUN1","AllData","Aspect","rand1",0.46692
"77","AllData_RUN1_SRE","SRE","RUN1","AllData","Average_GCW","rand1",0.058987
"78","AllData_RUN1_SRE","SRE","RUN1","AllData","Average_snow","rand1",0.00479600000000002
"79","AllData_RUN1_SRE","SRE","RUN1","AllData","Elevation","rand1",0.302497
"80","AllData_RUN1_SRE","SRE","RUN1","AllData","Slope","rand1",0.225489
"81","AllData_RUN1_SRE","SRE","RUN1","AllData","Aspect","rand2",0.457837
"82","AllData_RUN1_SRE","SRE","RUN1","AllData","Average_GCW","rand2",0.0589499999999999
"83","AllData_RUN1_SRE","SRE","RUN1","AllData","Average_snow","rand2",0.00439800000000001
"84","AllData_RUN1_SRE","SRE","RUN1","AllData","Elevation","rand2",0.298903
"85","AllData_RUN1_SRE","SRE","RUN1","AllData","Slope","rand2",0.227545
"86","AllData_RUN1_SRE","SRE","RUN1","AllData","Aspect","rand3",0.44915
"87","AllData_RUN1_SRE","SRE","RUN1","AllData","Average_GCW","rand3",0.057079
"88","AllData_RUN1_SRE","SRE","RUN1","AllData","Average_snow","rand3",0.00399899999999997
"89","AllData_RUN1_SRE","SRE","RUN1","AllData","Elevation","rand3",0.307456
"90","AllData_RUN1_SRE","SRE","RUN1","AllData","Slope","rand3",0.225659
"91","AllData_RUN1_FDA","FDA","RUN1","AllData","Aspect","rand1",0.00126499999999996
