"","Model.name","Algo","Run","Dataset","Expl.var","Rand","Var.imp"
"1","AllData_RUN1_GLM","GLM","RUN1","AllData","Aspect","rand1",0.198629
"2","AllData_RUN1_GLM","GLM","RUN1","AllData","Average_GCW","rand1",0.517911
"3","AllData_RUN1_GLM","GLM","RUN1","AllData","Elevation","rand1",0.048808
"4","AllData_RUN1_GLM","GLM","RUN1","AllData","Slope","rand1",0.245342
"5","AllData_RUN1_GLM","GLM","RUN1","AllData","Aspect","rand2",0.204993
"6","AllData_RUN1_GLM","GLM","RUN1","AllData","Average_GCW","rand2",0.51185
"7","AllData_RUN1_GLM","GLM","RUN1","AllData","Elevation","rand2",0.046202
"8","AllData_RUN1_GLM","GLM","RUN1","AllData","Slope","rand2",0.247606
"9","AllData_RUN1_GLM","GLM","RUN1","AllData","Aspect","rand3",0.206806
"10","AllData_RUN1_GLM","GLM","RUN1","AllData","Average_GCW","rand3",0.514872
"11","AllData_RUN1_GLM","GLM","RUN1","AllData","Elevation","rand3",0.047499
"12","AllData_RUN1_GLM","GLM","RUN1","AllData","Slope","rand3",0.244348
"13","AllData_RUN1_GBM","GBM","RUN1","AllData","Aspect","rand1",0.193182
"14","AllData_RUN1_GBM","GBM","RUN1","AllData","Average_GCW","rand1",0.747156
"15","AllData_RUN1_GBM","GBM","RUN1","AllData","Elevation","rand1",0.032269
"16","AllData_RUN1_GBM","GBM","RUN1","AllData","Slope","rand1",0.127613
"17","AllData_RUN1_GBM","GBM","RUN1","AllData","Aspect","rand2",0.191383
"18","AllData_RUN1_GBM","GBM","RUN1","AllData","Average_GCW","rand2",0.750326
"19","AllData_RUN1_GBM","GBM","RUN1","AllData","Elevation","rand2",0.032659
"20","AllData_RUN1_GBM","GBM","RUN1","AllData","Slope","rand2",0.134213
"21","AllData_RUN1_GBM","GBM","RUN1","AllData","Aspect","rand3",0.187671
"22","AllData_RUN1_GBM","GBM","RUN1","AllData","Average_GCW","rand3",0.764587
"23","AllData_RUN1_GBM","GBM","RUN1","AllData","Elevation","rand3",0.032396
"24","AllData_RUN1_GBM","GBM","RUN1","AllData","Slope","rand3",0.132969
"25","AllData_RUN1_GAM","GAM","RUN1","AllData","Aspect","rand1",0.160717
"26","AllData_RUN1_GAM","GAM","RUN1","AllData","Average_GCW","rand1",0.698329
"27","AllData_RUN1_GAM","GAM","RUN1","AllData","Elevation","rand1",0.093564
"28","AllData_RUN1_GAM","GAM","RUN1","AllData","Slope","rand1",0.180041
"29","AllData_RUN1_GAM","GAM","RUN1","AllData","Aspect","rand2",0.166335
"30","AllData_RUN1_GAM","GAM","RUN1","AllData","Average_GCW","rand2",0.703598
"31","AllData_RUN1_GAM","GAM","RUN1","AllData","Elevation","rand2",0.091853
"32","AllData_RUN1_GAM","GAM","RUN1","AllData","Slope","rand2",0.176915
"33","AllData_RUN1_GAM","GAM","RUN1","AllData","Aspect","rand3",0.161785
"34","AllData_RUN1_GAM","GAM","RUN1","AllData","Average_GCW","rand3",0.702118
"35","AllData_RUN1_GAM","GAM","RUN1","AllData","Elevation","rand3",0.094548
"36","AllData_RUN1_GAM","GAM","RUN1","AllData","Slope","rand3",0.184921
"37","AllData_RUN1_CTA","CTA","RUN1","AllData","Aspect","rand1",0.228238
"38","AllData_RUN1_CTA","CTA","RUN1","AllData","Average_GCW","rand1",0.805883
"39","AllData_RUN1_CTA","CTA","RUN1","AllData","Elevation","rand1",0
"40","AllData_RUN1_CTA","CTA","RUN1","AllData","Slope","rand1",0.203908
"41","AllData_RUN1_CTA","CTA","RUN1","AllData","Aspect","rand2",0.232276
"42","AllData_RUN1_CTA","CTA","RUN1","AllData","Average_GCW","rand2",0.796342
"43","AllData_RUN1_CTA","CTA","RUN1","AllData","Elevation","rand2",0
"44","AllData_RUN1_CTA","CTA","RUN1","AllData","Slope","rand2",0.201605
"45","AllData_RUN1_CTA","CTA","RUN1","AllData","Aspect","rand3",0.227097
"46","AllData_RUN1_CTA","CTA","RUN1","AllData","Average_GCW","rand3",0.790683
"47","AllData_RUN1_CTA","CTA","RUN1","AllData","Elevation","rand3",0
"48","AllData_RUN1_CTA","CTA","RUN1","AllData","Slope","rand3",0.212759
"49","AllData_RUN1_ANN","ANN","RUN1","AllData","Aspect","rand1",0.450999
"50","AllData_RUN1_ANN","ANN","RUN1","AllData","Average_GCW","rand1",0.553165
"51","AllData_RUN1_ANN","ANN","RUN1","AllData","Elevation","rand1",0.271665
"52","AllData_RUN1_ANN","ANN","RUN1","AllData","Slope","rand1",0.273499
"53","AllData_RUN1_ANN","ANN","RUN1","AllData","Aspect","rand2",0.43228
"54","AllData_RUN1_ANN","ANN","RUN1","AllData","Average_GCW","rand2",0.556635
"55","AllData_RUN1_ANN","ANN","RUN1","AllData","Elevation","rand2",0.272701
"56","AllData_RUN1_ANN","ANN","RUN1","AllData","Slope","rand2",0.264324
"57","AllData_RUN1_ANN","ANN","RUN1","AllData","Aspect","rand3",0.456097
"58","AllData_RUN1_ANN","ANN","RUN1","AllData","Average_GCW","rand3",0.546742
"59","AllData_RUN1_ANN","ANN","RUN1","AllData","Elevation","rand3",0.280272
"60","AllData_RUN1_ANN","ANN","RUN1","AllData","Slope","rand3",0.254347
"61","AllData_RUN1_SRE","SRE","RUN1","AllData","Aspect","rand1",0.410236
"62","AllData_RUN1_SRE","SRE","RUN1","AllData","Average_GCW","rand1",0.04615
"63","AllData_RUN1_SRE","SRE","RUN1","AllData","Elevation","rand1",0.305731
"64","AllData_RUN1_SRE","SRE","RUN1","AllData","Slope","rand1",0.293382
"65","AllData_RUN1_SRE","SRE","RUN1","AllData","Aspect","rand2",0.402314
"66","AllData_RUN1_SRE","SRE","RUN1","AllData","Average_GCW","rand2",0.045062
"67","AllData_RUN1_SRE","SRE","RUN1","AllData","Elevation","rand2",0.314093
"68","AllData_RUN1_SRE","SRE","RUN1","AllData","Slope","rand2",0.286793
"69","AllData_RUN1_SRE","SRE","RUN1","AllData","Aspect","rand3",0.418387
"70","AllData_RUN1_SRE","SRE","RUN1","AllData","Average_GCW","rand3",0.044698
"71","AllData_RUN1_SRE","SRE","RUN1","AllData","Elevation","rand3",0.310873
"72","AllData_RUN1_SRE","SRE","RUN1","AllData","Slope","rand3",0.289335
"73","AllData_RUN1_FDA","FDA","RUN1","AllData","Aspect","rand1",0.014652
"74","AllData_RUN1_FDA","FDA","RUN1","AllData","Average_GCW","rand1",0.943466
"75","AllData_RUN1_FDA","FDA","RUN1","AllData","Elevation","rand1",0.00596699999999994
"76","AllData_RUN1_FDA","FDA","RUN1","AllData","Slope","rand1",0.025871
"77","AllData_RUN1_FDA","FDA","RUN1","AllData","Aspect","rand2",0.0146849999999999
