"","Model.name","Algo","Run","Dataset","Expl.var","Rand","Var.imp"
"1","AllData_RUN1_GLM","GLM","RUN1","AllData","Aspect","rand1",0.200346
"2","AllData_RUN1_GLM","GLM","RUN1","AllData","Average_GCW","rand1",0.559287
"3","AllData_RUN1_GLM","GLM","RUN1","AllData","Elevation","rand1",0.066806
"4","AllData_RUN1_GLM","GLM","RUN1","AllData","Slope","rand1",0.192242
"5","AllData_RUN1_GLM","GLM","RUN1","AllData","Aspect","rand2",0.198887
"6","AllData_RUN1_GLM","GLM","RUN1","AllData","Average_GCW","rand2",0.548703
"7","AllData_RUN1_GLM","GLM","RUN1","AllData","Elevation","rand2",0.0651119999999999
"8","AllData_RUN1_GLM","GLM","RUN1","AllData","Slope","rand2",0.192652
"9","AllData_RUN1_GLM","GLM","RUN1","AllData","Aspect","rand3",0.193966
"10","AllData_RUN1_GLM","GLM","RUN1","AllData","Average_GCW","rand3",0.558842
"11","AllData_RUN1_GLM","GLM","RUN1","AllData","Elevation","rand3",0.066562
"12","AllData_RUN1_GLM","GLM","RUN1","AllData","Slope","rand3",0.192823
"13","AllData_RUN1_GBM","GBM","RUN1","AllData","Aspect","rand1",0.220295
"14","AllData_RUN1_GBM","GBM","RUN1","AllData","Average_GCW","rand1",0.744651
"15","AllData_RUN1_GBM","GBM","RUN1","AllData","Elevation","rand1",0.02925
"16","AllData_RUN1_GBM","GBM","RUN1","AllData","Slope","rand1",0.124206
"17","AllData_RUN1_GBM","GBM","RUN1","AllData","Aspect","rand2",0.218185
"18","AllData_RUN1_GBM","GBM","RUN1","AllData","Average_GCW","rand2",0.739141
"19","AllData_RUN1_GBM","GBM","RUN1","AllData","Elevation","rand2",0.029756
"20","AllData_RUN1_GBM","GBM","RUN1","AllData","Slope","rand2",0.124831
"21","AllData_RUN1_GBM","GBM","RUN1","AllData","Aspect","rand3",0.213233
"22","AllData_RUN1_GBM","GBM","RUN1","AllData","Average_GCW","rand3",0.744992
"23","AllData_RUN1_GBM","GBM","RUN1","AllData","Elevation","rand3",0.0298040000000001
"24","AllData_RUN1_GBM","GBM","RUN1","AllData","Slope","rand3",0.122528
"25","AllData_RUN1_GAM","GAM","RUN1","AllData","Aspect","rand1",0.17208
"26","AllData_RUN1_GAM","GAM","RUN1","AllData","Average_GCW","rand1",0.721823
"27","AllData_RUN1_GAM","GAM","RUN1","AllData","Elevation","rand1",0.079938
"28","AllData_RUN1_GAM","GAM","RUN1","AllData","Slope","rand1",0.124852
"29","AllData_RUN1_GAM","GAM","RUN1","AllData","Aspect","rand2",0.172848
"30","AllData_RUN1_GAM","GAM","RUN1","AllData","Average_GCW","rand2",0.727695
"31","AllData_RUN1_GAM","GAM","RUN1","AllData","Elevation","rand2",0.077279
"32","AllData_RUN1_GAM","GAM","RUN1","AllData","Slope","rand2",0.125288
"33","AllData_RUN1_GAM","GAM","RUN1","AllData","Aspect","rand3",0.17257
"34","AllData_RUN1_GAM","GAM","RUN1","AllData","Average_GCW","rand3",0.722468
"35","AllData_RUN1_GAM","GAM","RUN1","AllData","Elevation","rand3",0.081924
"36","AllData_RUN1_GAM","GAM","RUN1","AllData","Slope","rand3",0.120596
"37","AllData_RUN1_CTA","CTA","RUN1","AllData","Aspect","rand1",0.32701
"38","AllData_RUN1_CTA","CTA","RUN1","AllData","Average_GCW","rand1",0.833545
"39","AllData_RUN1_CTA","CTA","RUN1","AllData","Elevation","rand1",0
"40","AllData_RUN1_CTA","CTA","RUN1","AllData","Slope","rand1",0.283397
"41","AllData_RUN1_CTA","CTA","RUN1","AllData","Aspect","rand2",0.325627
"42","AllData_RUN1_CTA","CTA","RUN1","AllData","Average_GCW","rand2",0.816974
