"","Model.name","Algo","Run","Dataset","Expl.var","Rand","Var.imp"
"1","AllData_RUN1_GLM","GLM","RUN1","AllData","Aspect","rand1",0.00555499999999998
"2","AllData_RUN1_GLM","GLM","RUN1","AllData","Average_snow","rand1",0.574225
"3","AllData_RUN1_GLM","GLM","RUN1","AllData","Elevation","rand1",0.00669200000000003
"4","AllData_RUN1_GLM","GLM","RUN1","AllData","Slope","rand1",0.450827
"5","AllData_RUN1_GLM","GLM","RUN1","AllData","Aspect","rand2",0.00547399999999998
"6","AllData_RUN1_GLM","GLM","RUN1","AllData","Average_snow","rand2",0.572357
"7","AllData_RUN1_GLM","GLM","RUN1","AllData","Elevation","rand2",0.00661900000000004
"8","AllData_RUN1_GLM","GLM","RUN1","AllData","Slope","rand2",0.446892
"9","AllData_RUN1_GLM","GLM","RUN1","AllData","Aspect","rand3",0.00545899999999999
"10","AllData_RUN1_GLM","GLM","RUN1","AllData","Average_snow","rand3",0.563947
"11","AllData_RUN1_GLM","GLM","RUN1","AllData","Elevation","rand3",0.00661299999999998
"12","AllData_RUN1_GLM","GLM","RUN1","AllData","Slope","rand3",0.45542
"13","AllData_RUN1_GBM","GBM","RUN1","AllData","Aspect","rand1",0.013409
"14","AllData_RUN1_GBM","GBM","RUN1","AllData","Average_snow","rand1",0.634909
"15","AllData_RUN1_GBM","GBM","RUN1","AllData","Elevation","rand1",0.084546
"16","AllData_RUN1_GBM","GBM","RUN1","AllData","Slope","rand1",0.398712
"17","AllData_RUN1_GBM","GBM","RUN1","AllData","Aspect","rand2",0.013307
"18","AllData_RUN1_GBM","GBM","RUN1","AllData","Average_snow","rand2",0.638917
"19","AllData_RUN1_GBM","GBM","RUN1","AllData","Elevation","rand2",0.086479
"20","AllData_RUN1_GBM","GBM","RUN1","AllData","Slope","rand2",0.399035
"21","AllData_RUN1_GBM","GBM","RUN1","AllData","Aspect","rand3",0.012977
"22","AllData_RUN1_GBM","GBM","RUN1","AllData","Average_snow","rand3",0.621284
"23","AllData_RUN1_GBM","GBM","RUN1","AllData","Elevation","rand3",0.082155
"24","AllData_RUN1_GBM","GBM","RUN1","AllData","Slope","rand3",0.390839
"25","AllData_RUN1_GAM","GAM","RUN1","AllData","Aspect","rand1",0.029458
