layer,x,y
TRUE,163.356040067557,-77.6097776255857
TRUE,163.304313067557,-77.6057228255857
TRUE,163.183559067557,-77.6303120255857
TRUE,163.182867067557,-77.6034350255857
TRUE,163.255181067557,-77.6233928255857
TRUE,163.296355067557,-77.6257736255857
TRUE,163.255094567557,-77.6083640255857
TRUE,163.259333067557,-77.6329346255857
TRUE,163.274124567557,-77.5981712255857
TRUE,163.212363567557,-77.6202308255857
TRUE,163.359240567557,-77.6354084255857
TRUE,163.360105567557,-77.5992872255857
TRUE,163.296528067557,-77.6152274255857
TRUE,163.186413567557,-77.6130884255857
TRUE,163.310454567557,-77.6349992255857
TRUE,163.352839567557,-77.6226488255857
