"","Model.name","Algo","Run","Dataset","Expl.var","Rand","Var.imp"
"1","AllData_RUN1_RF","RF","RUN1","AllData","aspect","rand1",0.044906
"2","AllData_RUN1_RF","RF","RUN1","AllData","dem_pr","rand1",0.040438
"3","AllData_RUN1_RF","RF","RUN1","AllData","slope","rand1",0.028033
"4","AllData_RUN1_RF","RF","RUN1","AllData","snowice_pr","rand1",0.023814
"5","AllData_RUN1_RF","RF","RUN1","AllData","soil_pr","rand1",0.589517
"6","AllData_RUN1_RF","RF","RUN1","AllData","vwc_pr","rand1",0.033208
"7","AllData_RUN1_RF","RF","RUN1","AllData","vwcsetzero_pr","rand1",0.060814
"8","AllData_RUN1_RF","RF","RUN1","AllData","water_pr","rand1",0.116759
"9","AllData_RUN1_RF","RF","RUN1","AllData","aspect","rand2",0.0418500000000001
"10","AllData_RUN1_RF","RF","RUN1","AllData","dem_pr","rand2",0.050315
"11","AllData_RUN1_RF","RF","RUN1","AllData","slope","rand2",0.027269
"12","AllData_RUN1_RF","RF","RUN1","AllData","snowice_pr","rand2",0.024406
"13","AllData_RUN1_RF","RF","RUN1","AllData","soil_pr","rand2",0.632118
"14","AllData_RUN1_RF","RF","RUN1","AllData","vwc_pr","rand2",0.031434
"15","AllData_RUN1_RF","RF","RUN1","AllData","vwcsetzero_pr","rand2",0.056851
"16","AllData_RUN1_RF","RF","RUN1","AllData","water_pr","rand2",0.121371
"17","AllData_RUN1_RF","RF","RUN1","AllData","aspect","rand3",0.04072
"18","AllData_RUN1_RF","RF","RUN1","AllData","dem_pr","rand3",0.04057
"19","AllData_RUN1_RF","RF","RUN1","AllData","slope","rand3",0.02408
"20","AllData_RUN1_RF","RF","RUN1","AllData","snowice_pr","rand3",0.021168
"21","AllData_RUN1_RF","RF","RUN1","AllData","soil_pr","rand3",0.626586
"22","AllData_RUN1_RF","RF","RUN1","AllData","vwc_pr","rand3",0.029954
"23","AllData_RUN1_RF","RF","RUN1","AllData","vwcsetzero_pr","rand3",0.062457
"24","AllData_RUN1_RF","RF","RUN1","AllData","water_pr","rand3",0.113159
"25","AllData_RUN1_GLM","GLM","RUN1","AllData","aspect","rand1",0
"26","AllData_RUN1_GLM","GLM","RUN1","AllData","dem_pr","rand1",0.038241
"27","AllData_RUN1_GLM","GLM","RUN1","AllData","slope","rand1",0.017123
"28","AllData_RUN1_GLM","GLM","RUN1","AllData","snowice_pr","rand1",0.060371
"29","AllData_RUN1_GLM","GLM","RUN1","AllData","soil_pr","rand1",0.916983
"30","AllData_RUN1_GLM","GLM","RUN1","AllData","vwc_pr","rand1",0
"31","AllData_RUN1_GLM","GLM","RUN1","AllData","vwcsetzero_pr","rand1",0.158204
"32","AllData_RUN1_GLM","GLM","RUN1","AllData","water_pr","rand1",0
"33","AllData_RUN1_GLM","GLM","RUN1","AllData","aspect","rand2",0
"34","AllData_RUN1_GLM","GLM","RUN1","AllData","dem_pr","rand2",0.04192
"35","AllData_RUN1_GLM","GLM","RUN1","AllData","slope","rand2",0.017029
"36","AllData_RUN1_GLM","GLM","RUN1","AllData","snowice_pr","rand2",0.065995
"37","AllData_RUN1_GLM","GLM","RUN1","AllData","soil_pr","rand2",0.799034
"38","AllData_RUN1_GLM","GLM","RUN1","AllData","vwc_pr","rand2",0
